"geo","time","tb_with_hivplus_existing_cases_per_100000_estimated"
"bdi",1990,11.8
"bdi",1991,17.4
"bdi",1992,27.1
"bdi",1993,34.6
"bdi",1994,38.2
"bdi",1995,40.6
"bdi",1996,42.2
"bdi",1997,44.3
"bdi",1998,46.3
"bdi",1999,48.3
"bdi",2000,50.4
"bdi",2001,51.7
"bdi",2002,52.1
"bdi",2003,51
"bdi",2004,48.2
"bdi",2005,44.4
"bdi",2006,40.2
"bdi",2007,36.4
"cod",1990,5
"cod",1991,5.5
"cod",1992,5.8
"cod",1993,6.2
"cod",1994,6.5
"cod",1995,6.9
"cod",1996,7.2
"cod",1997,7.8
"cod",1998,8.4
"cod",1999,9.1
"cod",2000,9.9
"cod",2001,10.7
"cod",2002,11.5
"cod",2003,12
"cod",2004,12.2
"cod",2005,12
"cod",2006,11.8
"cod",2007,11.5
"ken",1990,22
"ken",1991,26.3
"ken",1992,34.8
"ken",1993,44.7
"ken",1994,56.4
"ken",1995,67.7
"ken",1996,79.4
"ken",1997,93.2
"ken",1998,105.5
"ken",1999,115.4
"ken",2000,119.9
"ken",2001,117.7
"ken",2002,117.3
"ken",2003,118
"ken",2004,115.1
"ken",2005,102.3
"ken",2006,90.8
"ken",2007,84.4
"rwa",1990,50.5
"rwa",1991,55.4
"rwa",1992,58.3
"rwa",1993,61.3
"rwa",1994,64.4
"rwa",1995,67.6
"rwa",1996,69.8
"rwa",1997,73.1
"rwa",1998,76.7
"rwa",1999,80.6
"rwa",2000,84.9
"rwa",2001,88.5
"rwa",2002,91.1
"rwa",2003,91.2
"rwa",2004,88.3
"rwa",2005,83.7
"rwa",2006,78.3
"rwa",2007,74.4
"tza",1990,33.5
"tza",1991,40.7
"tza",1992,47.5
"tza",1993,53.9
"tza",1994,60.6
"tza",1995,67.5
"tza",1996,73.2
"tza",1997,78.1
"tza",1998,80.6
"tza",1999,82.7
"tza",2000,85.3
"tza",2001,86.3
"tza",2002,86.7
"tza",2003,83.9
"tza",2004,81.1
"tza",2005,77.3
"tza",2006,73.3
"tza",2007,69.5
"uga",1990,48.2
"uga",1991,74.4
"uga",1992,80.7
"uga",1993,87
"uga",1994,88.4
"uga",1995,90.5
"uga",1996,87.1
"uga",1997,86.4
"uga",1998,85.7
"uga",1999,82.5
"uga",2000,83.8
"uga",2001,85.7
"uga",2002,88.8
"uga",2003,87.8
"uga",2004,82.4
"uga",2005,76.4
"uga",2006,69.7
"uga",2007,63.8
