"geo","time","tb_with_hivplus_new_cases_per_100000_estimated"
"bdi",1990,23.5
"bdi",1991,34.8
"bdi",1992,54.2
"bdi",1993,69.1
"bdi",1994,76.3
"bdi",1995,81.3
"bdi",1996,84.4
"bdi",1997,88.5
"bdi",1998,92.6
"bdi",1999,96.6
"bdi",2000,100.7
"bdi",2001,103.4
"bdi",2002,104.3
"bdi",2003,102.1
"bdi",2004,96.4
"bdi",2005,88.9
"bdi",2006,80.4
"bdi",2007,72.7
"cod",1990,10
"cod",1991,11
"cod",1992,11.7
"cod",1993,12.4
"cod",1994,13
"cod",1995,13.8
"cod",1996,14.5
"cod",1997,15.5
"cod",1998,16.7
"cod",1999,18.2
"cod",2000,19.8
"cod",2001,21.5
"cod",2002,23
"cod",2003,24
"cod",2004,24.3
"cod",2005,24.1
"cod",2006,23.5
"cod",2007,23
"ken",1990,44
"ken",1991,52.6
"ken",1992,69.7
"ken",1993,89.5
"ken",1994,112.7
"ken",1995,135.4
"ken",1996,158.7
"ken",1997,186.4
"ken",1998,211
"ken",1999,230.8
"ken",2000,239.8
"ken",2001,235.4
"ken",2002,234.5
"ken",2003,235.9
"ken",2004,230.1
"ken",2005,204.7
"ken",2006,181.5
"ken",2007,168.7
"rwa",1990,100.9
"rwa",1991,110.7
"rwa",1992,116.6
"rwa",1993,122.6
"rwa",1994,128.8
"rwa",1995,135.1
"rwa",1996,139.6
"rwa",1997,146.3
"rwa",1998,153.4
"rwa",1999,161.3
"rwa",2000,169.8
"rwa",2001,177.1
"rwa",2002,182.1
"rwa",2003,182.3
"rwa",2004,176.7
"rwa",2005,167.4
"rwa",2006,156.7
"rwa",2007,148.8
"tza",1990,66.9
"tza",1991,81.5
"tza",1992,95
"tza",1993,107.8
"tza",1994,121.1
"tza",1995,135
"tza",1996,146.3
"tza",1997,156.1
"tza",1998,161.2
"tza",1999,165.3
"tza",2000,170.7
"tza",2001,172.7
"tza",2002,173.4
"tza",2003,167.8
"tza",2004,162.3
"tza",2005,154.6
"tza",2006,146.6
"tza",2007,139
"uga",1990,96.4
"uga",1991,148.8
"uga",1992,161.4
"uga",1993,173.9
"uga",1994,176.8
"uga",1995,180.9
"uga",1996,174.2
"uga",1997,172.7
"uga",1998,171.3
"uga",1999,165
"uga",2000,167.7
"uga",2001,171.4
"uga",2002,177.6
"uga",2003,175.7
"uga",2004,164.7
"uga",2005,152.7
"uga",2006,139.4
"uga",2007,127.5
