"geo","time","tb_with_hivplus_number_of_deaths_estimated"
"bdi",1990,667
"bdi",1991,987
"bdi",1992,1533
"bdi",1993,1942
"bdi",1994,2126
"bdi",1995,2236
"bdi",1996,2341
"bdi",1997,2295
"bdi",1998,2840
"bdi",1999,2600
"bdi",2000,2763
"bdi",2001,3070
"bdi",2002,3266
"bdi",2003,3328
"bdi",2004,3286
"bdi",2005,3234
"bdi",2006,3093
"bdi",2007,2923
"cod",1990,1469
"cod",1991,1687
"cod",1992,1866
"cod",1993,2067
"cod",1994,2270
"cod",1995,2537
"cod",1996,2662
"cod",1997,3034
"cod",1998,3150
"cod",1999,3621
"cod",2000,4164
"cod",2001,4689
"cod",2002,5235
"cod",2003,5509
"cod",2004,5755
"cod",2005,5891
"cod",2006,5996
"cod",2007,6000
"ken",1990,3343
"ken",1991,4126
"ken",1992,5644
"ken",1993,7478
"ken",1994,9709
"ken",1995,12560
"ken",1996,14800
"ken",1997,18250
"ken",1998,20990
"ken",1999,23430
"ken",2000,26350
"ken",2001,24390
"ken",2002,23980
"ken",2003,23250
"ken",2004,22670
"ken",2005,20830
"ken",2006,16600
"ken",2007,14590
"rwa",1990,3805
"rwa",1991,3944
"rwa",1992,3803
"rwa",1993,3612
"rwa",1994,3483
"rwa",1995,3504
"rwa",1996,3728
"rwa",1997,4122
"rwa",1998,4749
"rwa",1999,5528
"rwa",2000,6409
"rwa",2001,7204
"rwa",2002,7657
"rwa",2003,7772
"rwa",2004,7725
"rwa",2005,7362
"rwa",2006,6931
"rwa",2007,6829
"tza",1990,5866
"tza",1991,7380
"tza",1992,8898
"tza",1993,10430
"tza",1994,12090
"tza",1995,13690
"tza",1996,15200
"tza",1997,17010
"tza",1998,17780
"tza",1999,18960
"tza",2000,20120
"tza",2001,19990
"tza",2002,21350
"tza",2003,21430
"tza",2004,21210
"tza",2005,21010
"tza",2006,20600
"tza",2007,19830
"uga",1990,9222
"uga",1991,14770
"uga",1992,16600
"uga",1993,18530
"uga",1994,19490
"uga",1995,20610
"uga",1996,20470
"uga",1997,15940
"uga",1998,16410
"uga",1999,16030
"uga",2000,17070
"uga",2001,17000
"uga",2002,18100
"uga",2003,19060
"uga",2004,18510
"uga",2005,18180
"uga",2006,17130
"uga",2007,16110
