"geo","time","tb_with_hivplus_number_of_existing_cases_estimated"
"bdi",1990,669
"bdi",1991,1014
"bdi",1992,1612
"bdi",1993,2094
"bdi",1994,2350
"bdi",1995,2537
"bdi",1996,2666
"bdi",1997,2824
"bdi",1998,2985
"bdi",1999,3160
"bdi",2000,3357
"bdi",2001,3537
"bdi",2002,3676
"bdi",2003,3723
"bdi",2004,3647
"bdi",2005,3493
"bdi",2006,3286
"bdi",2007,3094
"cod",1990,1901
"cod",1991,2169
"cod",1992,2384
"cod",1993,2624
"cod",1994,2864
"cod",1995,3121
"cod",1996,3365
"cod",1997,3685
"cod",1998,4053
"cod",1999,4496
"cod",2000,5023
"cod",2001,5588
"cod",2002,6155
"cod",2003,6627
"cod",2004,6917
"cod",2005,7069
"cod",2006,7136
"cod",2007,7216
"ken",1990,5162
"ken",1991,6372
"ken",1992,8716
"ken",1993,11550
"ken",1994,14990
"ken",1995,18540
"ken",1996,22340
"ken",1997,26950
"ken",1998,31310
"ken",1999,35150
"ken",2000,37470
"ken",2001,37750
"ken",2002,38600
"ken",2003,39850
"ken",2004,39900
"ken",2005,36430
"ken",2006,33180
"ken",2007,31670
"rwa",1990,3680
"rwa",1991,3901
"rwa",1992,3850
"rwa",1993,3743
"rwa",1994,3699
"rwa",1995,3814
"rwa",1996,4098
"rwa",1997,4654
"rwa",1998,5382
"rwa",1999,6176
"rwa",2000,6942
"rwa",2001,7552
"rwa",2002,7978
"rwa",2003,8124
"rwa",2004,7996
"rwa",2005,7727
"rwa",2006,7414
"rwa",2007,7235
"tza",1990,8531
"tza",1991,10730
"tza",1992,12940
"tza",1993,15160
"tza",1994,17590
"tza",1995,20190
"tza",1996,22470
"tza",1997,24580
"tza",1998,25990
"tza",1999,27300
"tza",2000,28890
"tza",2001,29970
"tza",2002,30880
"tza",2003,30670
"tza",2004,30440
"tza",2005,29740
"tza",2006,28920
"tza",2007,28120
"uga",1990,8598
"uga",1991,13770
"uga",1992,15480
"uga",1993,17280
"uga",1994,18180
"uga",1995,19210
"uga",1996,19080
"uga",1997,19500
"uga",1998,19920
"uga",1999,19760
"uga",2000,20700
"uga",2001,21820
"uga",2002,23340
"uga",2003,23840
"uga",2004,23080
"uga",2005,22110
"uga",2006,20840
"uga",2007,19690
