"geo","time","teen_fertility_rate_births_per_1000_women_ages_15_19"
"bdi",1990,33
"bdi",1995,60
"bdi",1997,40.13
"bdi",1998,37.9
"bdi",1999,35.67
"bdi",2000,33.44
"bdi",2001,31.2
"bdi",2002,28.97
"bdi",2003,26.9
"bdi",2004,24.84
"bdi",2005,22.77
"bdi",2006,20.71
"bdi",2007,18.64
"bdi",2008,19.09
"bdi",2009,19.55
"bdi",2010,20
"cod",1987,242
"cod",1997,242
"cod",1998,239.7
"cod",1999,237.5
"cod",2000,235.2
"cod",2001,232.9
"cod",2002,230.6
"cod",2003,224.7
"cod",2004,218.9
"cod",2005,213.1
"cod",2006,207.2
"cod",2007,201.4
"cod",2008,195.2
"cod",2009,189.1
"cod",2010,182.9
"ken",1976,168
"ken",1986,152
"ken",1991,110
"ken",1997,105.7
"ken",1998,105.4
"ken",1999,105.1
"ken",2000,104.8
"ken",2001,104.5
"ken",2002,104.2
"ken",2003,103.4
"ken",2004,102.6
"ken",2005,101.8
"ken",2006,101
"ken",2007,100.2
"ken",2008,99.8
"ken",2009,99.37
"ken",2010,98.94
"rwa",1997,53.52
"rwa",1998,51.75
"rwa",1999,49.98
"rwa",2000,48.22
"rwa",2001,46.45
"rwa",2002,44.68
"rwa",2003,43.48
"rwa",2004,42.28
"rwa",2005,41.07
"rwa",2006,39.87
"rwa",2007,38.66
"rwa",2008,38.03
"rwa",2009,37.4
"rwa",2010,36.76
"tza",1990,144
"tza",1994,129.6
"tza",1997,133.3
"tza",1998,133
"tza",1999,132.8
"tza",2000,132.5
"tza",2001,132.2
"tza",2002,132
"tza",2003,131.7
"tza",2004,131.4
"tza",2005,131.1
"tza",2006,130.7
"tza",2007,130.4
"tza",2008,130.1
"tza",2009,129.7
"tza",2010,129.4
"uga",1997,191
"uga",1998,187.3
"uga",1999,183.6
"uga",2000,179.9
"uga",2001,176.2
"uga",2002,172.5
"uga",2003,168
"uga",2004,163.5
"uga",2005,159
"uga",2006,154.5
"uga",2007,149.9
"uga",2008,145.2
"uga",2009,140.5
"uga",2010,135.8
