"geo","time","total_gdp_ppp_inflation_adjusted"
"bdi",1800,395600000
"bdi",1801,395900000
"bdi",1802,396200000
"bdi",1803,396500000
"bdi",1804,396800000
"bdi",1805,397100000
"bdi",1806,397500000
"bdi",1807,397800000
"bdi",1808,398100000
"bdi",1809,398400000
"bdi",1810,398700000
"bdi",1811,3.99e+08
"bdi",1812,399300000
"bdi",1813,399600000
"bdi",1814,399900000
"bdi",1815,400200000
"bdi",1816,400600000
"bdi",1817,400900000
"bdi",1818,401200000
"bdi",1819,401500000
"bdi",1820,401800000
"bdi",1821,405200000
"bdi",1822,408700000
"bdi",1823,412200000
"bdi",1824,415700000
"bdi",1825,419300000
"bdi",1826,422800000
"bdi",1827,426500000
"bdi",1828,430100000
"bdi",1829,433800000
"bdi",1830,437500000
"bdi",1831,441200000
"bdi",1832,4.45e+08
"bdi",1833,448800000
"bdi",1834,452600000
"bdi",1835,456500000
"bdi",1836,460400000
"bdi",1837,464300000
"bdi",1838,468300000
"bdi",1839,472300000
"bdi",1840,476300000
"bdi",1841,480400000
"bdi",1842,484500000
"bdi",1843,488700000
"bdi",1844,492800000
"bdi",1845,4.97e+08
"bdi",1846,501300000
"bdi",1847,505600000
"bdi",1848,509900000
"bdi",1849,514200000
"bdi",1850,518600000
"bdi",1851,523100000
"bdi",1852,527500000
"bdi",1853,5.32e+08
"bdi",1854,536600000
"bdi",1855,541200000
"bdi",1856,545800000
"bdi",1857,550500000
"bdi",1858,555200000
"bdi",1859,559900000
"bdi",1860,564700000
"bdi",1861,569500000
"bdi",1862,574400000
"bdi",1863,579300000
"bdi",1864,584200000
"bdi",1865,589200000
"bdi",1866,594300000
"bdi",1867,599400000
"bdi",1868,604500000
"bdi",1869,609600000
"bdi",1870,614900000
"bdi",1871,620100000
"bdi",1872,625400000
"bdi",1873,630700000
"bdi",1874,636100000
"bdi",1875,641600000
"bdi",1876,647100000
"bdi",1877,652600000
"bdi",1878,658200000
"bdi",1879,663800000
"bdi",1880,669500000
"bdi",1881,675200000
"bdi",1882,680900000
"bdi",1883,686800000
"bdi",1884,692600000
"bdi",1885,698500000
"bdi",1886,704500000
"bdi",1887,710500000
"bdi",1888,716600000
"bdi",1889,722700000
"bdi",1890,728900000
"bdi",1891,735100000
"bdi",1892,741400000
"bdi",1893,747800000
"bdi",1894,754100000
"bdi",1895,760600000
"bdi",1896,767100000
"bdi",1897,773600000
"bdi",1898,780200000
"bdi",1899,786900000
"bdi",1900,793600000
"bdi",1901,800400000
"bdi",1902,807300000
"bdi",1903,814200000
"bdi",1904,821100000
"bdi",1905,828100000
"bdi",1906,835200000
"bdi",1907,842300000
"bdi",1908,849500000
"bdi",1909,856800000
"bdi",1910,864100000
"bdi",1911,871500000
"bdi",1912,8.79e+08
"bdi",1913,886500000
"bdi",1914,8.94e+08
"bdi",1915,901700000
"bdi",1916,909400000
"bdi",1917,917200000
"bdi",1918,9.25e+08
"bdi",1919,932900000
"bdi",1920,940900000
"bdi",1921,948900000
"bdi",1922,9.57e+08
"bdi",1923,965200000
"bdi",1924,973400000
"bdi",1925,981800000
"bdi",1926,990100000
"bdi",1927,998600000
"bdi",1928,1.007e+09
"bdi",1929,1.016e+09
"bdi",1930,1.024e+09
"bdi",1931,1.033e+09
"bdi",1932,1.042e+09
"bdi",1933,1.051e+09
"bdi",1934,1.06e+09
"bdi",1935,1.069e+09
"bdi",1936,1.078e+09
"bdi",1937,1.087e+09
"bdi",1938,1.097e+09
"bdi",1939,1.106e+09
