"geo","time","total_gdp_us_inflation_adjusted"
"bdi",1960,596608253.67072
"bdi",1961,514597677.3735
"bdi",1962,561236477.60162
"bdi",1963,584445892.53885
"bdi",1964,621108404.90066
"bdi",1965,645749176.59743
"bdi",1966,675537540.2394
"bdi",1967,768907087.02731
"bdi",1968,766616638.35264
"bdi",1969,755427553.10521
"bdi",1970,916527545.70543
"bdi",1971,941702987.47846
"bdi",1972,881396658.48232
"bdi",1973,942116521.31088
"bdi",1974,935268845.71275
"bdi",1975,941796276.24958
"bdi",1976,1016599961.55636
"bdi",1977,1133198416.79516
"bdi",1978,1122539824.57715
"bdi",1979,1141229606.95515
"bdi",1980,1152539828.31177
"bdi",1981,1292726423.68618
"bdi",1982,1279106260.4105
"bdi",1983,1326629240.55262
"bdi",1984,1328692732.80246
"bdi",1985,1485254991.58896
"bdi",1986,1533528459.0815
"bdi",1987,1617920004.19458
"bdi",1988,1699317953.86504
"bdi",1989,1722250287.54589
"bdi",1990,1782525984.41627
"bdi",1991,1871595892.56201
"bdi",1992,1890498980.49241
"bdi",1993,1772531844.12476
"bdi",1994,1704643874.55341
"bdi",1995,1569636079.67758
"bdi",1996,1444065193.28183
"bdi",1997,1421104556.74908
"bdi",1998,1488607023.0819
"bdi",1999,1473572092.20535
"bdi",2000,1460945582.56049
"bdi",2001,1490979805.70997
"bdi",2002,1557276512.30296
"bdi",2003,1538219684.21923
"bdi",2004,1612571959.3767
"bdi",2005,1627085107.05727
"bdi",2006,1714698065.64965
"bdi",2007,1796760633.53677
"bdi",2008,1887463244.56885
"bdi",2009,1952928499.631
"bdi",2010,2026864469.36388
"bdi",2011,2111823040.97987
"bdi",2012,2196704928.33329
"bdi",2013,2297622743.75537
"bdi",2014,2404713060.02967
"bdi",2015,2310420828.20521
"bdi",2016,2297241391.84594
"bdi",2017,2309167268.07383
"cod",1960,15841904236.2822
"cod",1961,14122839628.7941
"cod",1962,17116980138.997
"cod",1963,18009457794.7427
"cod",1964,17569986761.7983
"cod",1965,17745220812.79
"cod",1966,18947545640.7187
"cod",1967,18760772357.935
"cod",1968,19573620053.7254
"cod",1969,21399611249.3778
"cod",1970,21347170094.9683
"cod",1971,22629071516.0446
"cod",1972,22663272079.546
"cod",1973,24507445053.7712
"cod",1974,25274671667.9861
"cod",1975,24015580787.6976
"cod",1976,22740593103.9214
"cod",1977,22913602081.2107
"cod",1978,21688803250.5044
"cod",1979,21782084247.4732
"cod",1980,22260182029.6673
"cod",1981,22783412967.3825
"cod",1982,22679138387.6735
"cod",1983,22999300620.7586
"cod",1984,24273708892.6902
"cod",1985,24387273670.5745
"cod",1986,25537672498.366
"cod",1987,26220969304.7984
"cod",1988,26344307850.7228
"cod",1989,26010775573.7318
"cod",1990,24302307019.9629
"cod",1991,22255797230.3342
"cod",1992,19918936615.0185
"cod",1993,17236044975.684
"cod",1994,16563839772.6473
"cod",1995,16679786457.2249
"cod",1996,16509123445.4507
"cod",1997,15581798288.4826
"cod",1998,15328725881.3293
"cod",1999,14674167698.5781
"cod",2000,13660046634.625
"cod",2001,13373162020.0174
"cod",2002,13767371433.9896
"cod",2003,14535290949.534
"cod",2004,15514733205.9984
"cod",2005,16466585539.5574
"cod",2006,17342769191.2512
"cod",2007,18428335972.5325
"cod",2008,19575664685.7398
"cod",2009,20134562442.8413
"cod",2010,21565722425.0028
"cod",2011,23048294866.7093
"cod",2012,24681704232.8556
"cod",2013,26775195682.7944
"cod",2014,29310883852.6502
"cod",2015,31338079628.7828
"cod",2016,32089998961.1136
"cod",2017,33277601928.2367
"ken",1960,4364226422.9649
"ken",1961,4024923752.18984
"ken",1962,4405575230.51634
"ken",1963,4792311612.73305
"ken",1964,5030224355.08443
"ken",1965,5131286299.38207
"ken",1966,5887051209.2518
"ken",1967,6084928660.25219
"ken",1968,6570669650.06736
"ken",1969,7093643995.78389
"ken",1970,6763403165.32304
"ken",1971,8263112873.85727
"ken",1972,9674653292.23215
"ken",1973,10245126984.0973
"ken",1974,10661654644.0086
"ken",1975,10755712100.1532
"ken",1976,10987386320.2341
"ken",1977,12026111611.8784
"ken",1978,12857415800.9653
"ken",1979,13836537077.3165
"ken",1980,14610272938.4967
"ken",1981,15161598045.0813
"ken",1982,15390004222.6613
"ken",1983,15591467110.1385
"ken",1984,15865131187.8141
"ken",1985,16547420962.2911
"ken",1986,17735121267.6206
"ken",1987,18788074472.9767
"ken",1988,19953533268.7522
"ken",1989,20889423570.6202
"ken",1990,21765118854.9204
"ken",1991,22078176743.546
"ken",1992,21901663054.0192
"ken",1993,21979019127.026
"ken",1994,22557679339.9403
"ken",1995,23551619534.8549
"ken",1996,24528267341.7801
"ken",1997,24644752554.4477
"ken",1998,25455617585.0165
"ken",1999,26042468489.8422
"ken",2000,26198643973.2382
"ken",2001,27188928218.7225
"ken",2002,27337613463.7899
"ken",2003,28139282293.5283
"ken",2004,29575595616.5174
"ken",2005,31322527291.2531
"ken",2006,33349876084.3647
"ken",2007,35634585973.7449
"ken",2008,35717358968.4514
"ken",2009,36898510533.1698
"ken",2010,40000088346.8041
"ken",2011,42443399231.1785
"ken",2012,44380180300.2798
"ken",2013,46989153289.4776
"ken",2014,49506417104.2448
"ken",2015,52337445096.8196
"ken",2016,55409230681.8492
"ken",2017,58116217883.7864
"rwa",1960,972660208.98406
"rwa",1961,930859883.14645
"rwa",1962,1036361665.40378
"rwa",1963,934586344.12836
"rwa",1964,818090224.71624
"rwa",1965,875434498.34915
"rwa",1966,936792921.65402
"rwa",1967,1001581684.14709
"rwa",1968,1071830429.28598
"rwa",1969,1189810772.01354
"rwa",1970,1261216376.05286
"rwa",1971,1276434726.18966
"rwa",1972,1279792620.96161
"rwa",1973,1323793019.22653
"rwa",1974,1342456165.24086
"rwa",1975,1314078985.52699
"rwa",1976,1570384535.34909
"rwa",1977,1601699722.2452
"rwa",1978,1748268714.20242
"rwa",1979,1955786602.84421
"rwa",1980,2130861037.54775
"rwa",1981,2246698894.19799
"rwa",1982,2287383161.27398
"rwa",1983,2424176678.70673
"rwa",1984,2321372841.83873
"rwa",1985,2423577046.01444
"rwa",1986,2556198514.048
"rwa",1987,2555584103.42524
"rwa",1988,2670555359.79429
"rwa",1989,2669579691.79104
"rwa",1990,2605528703.92097
"rwa",1991,2540015820.32156
"rwa",1992,2689183970.36084
"rwa",1993,2471126328.29213
"rwa",1994,1229433112.60261
"rwa",1995,1662489594.92832
"rwa",1996,1874385460.69134
"rwa",1997,2133983207.63131
"rwa",1998,2323025727.0881
"rwa",1999,2423435683.71451
"rwa",2000,2626299259.43894
"rwa",2001,2849129766.50928
"rwa",2002,3224988890.46447
"rwa",2003,3296015154.77876
"rwa",2004,3541491696.90447
"rwa",2005,3873609810.79125
"rwa",2006,4231030725.9445
"rwa",2007,4553997445.97221
"rwa",2008,5062280240.66949
"rwa",2009,5378584801.81154
"rwa",2010,5773084568.14756
"rwa",2011,6235918930.24558
"rwa",2012,6775059582.83256
"rwa",2013,7090700999.49207
"rwa",2014,7631336868.37547
"rwa",2015,8308082095.23023
"rwa",2016,8805014648.57369
"rwa",2017,9342172848.18128
"tza",1988,11013607979.2258
"tza",1989,11428209018.672
"tza",1990,12233334531.6455
"tza",1991,12486807780.9952
"tza",1992,12559770962.6654
"tza",1993,12711216782.5046
"tza",1994,12910485667.9483
"tza",1995,13371378628.0628
"tza",1996,13979023119.3827
"tza",1997,14471822572.7899
"tza",1998,15008511791.0467
"tza",1999,15734981143.0663
"tza",2000,16511320979.4706
"tza",2001,17501641753.9451
"tza",2002,18755381230.7524
"tza",2003,20046919269.2951
"tza",2004,21616251925.8856
"tza",2005,23383020790.5415
"tza",2006,24472803075.3726
"tza",2007,26544274428.1676
"tza",2008,28021886853.3599
"tza",2009,29530121806.7351
"tza",2010,31407908612.0943
"tza",2011,33890549126.6533
"tza",2012,35632866873.3754
"tza",2013,38220903729.4146
"tza",2014,40883041247.8234
"tza",2015,43728220561.9177
"tza",2016,46775259595.7984
"tza",2017,50098249469.476
"uga",1982,4040725726.73423
"uga",1983,4272847547.9566
"uga",1984,4258120038.86082
"uga",1985,4117330409.37387
"uga",1986,4133391577.81187
"uga",1987,4297152533.91117
"uga",1988,4652401294.20089
"uga",1989,4948384331.10897
"uga",1990,5268749667.90812
"uga",1991,5561381055.90504
"uga",1992,5751488908.49356
"uga",1993,6230374699.29857
"uga",1994,6629345200.48067
"uga",1995,7393260810.8222
"uga",1996,8063985902.92098
"uga",1997,8475249334.25134
"uga",1998,8890982814.5195
"uga",1999,9607057980.57283
"uga",2000,9908902840.24994
"uga",2001,10422546784.8218
"uga",2002,11332715044.1477
"uga",2003,12066311003.4579
"uga",2004,12887692949.5087
"uga",2005,13703814497.5263
"uga",2006,15181735862.2212
"uga",2007,16458888151.9091
"uga",2008,17892251886.791
"uga",2009,19109196502.8215
"uga",2010,20186496527.1256
"uga",2011,22082345211.1269
"uga",2012,22929745405.3621
"uga",2013,23752213779.2388
"uga",2014,24965074811.1287
"uga",2015,26260227906.9258
"uga",2016,27483055271.6416
"uga",2017,28572697919.7527
