"geo","time","total_gni_ppp_current_international"
"bdi",1990,3756324418.09537
"bdi",1991,4089833755.53602
"bdi",1992,4212605599.65925
"bdi",1993,4052539721.95757
"bdi",1994,3972859161.88532
"bdi",1995,3734101527.95753
"bdi",1996,3485338149.8039
"bdi",1997,3499814254.50192
"bdi",1998,3719212556.34057
"bdi",1999,3720245424.16367
"bdi",2000,3888667428.25641
"bdi",2001,3937347267.87095
"bdi",2002,4164829639.11602
"bdi",2003,4169325526.95847
"bdi",2004,4458775641.68245
"bdi",2005,4710608601.80232
"bdi",2006,5163205368.46635
"bdi",2007,5568617974.62618
"bdi",2008,5974557597.68447
"bdi",2009,6184364739.19749
"bdi",2010,6521832895.49804
"bdi",2011,6925318798.35938
"bdi",2012,7364005758.91345
"bdi",2013,7860854608.61092
"bdi",2014,8351046010.98508
"bdi",2015,8123987508.50647
"bdi",2016,8182899808.34421
"bdi",2017,8366312305.32082
"cod",1990,28470717205.8808
"cod",1991,23487928619.1061
"cod",1992,24446638239.0939
"cod",1993,22394359384.2311
"cod",1994,20598432833.8999
"cod",1995,20762464274.8759
"cod",1996,22645793311.3677
"cod",1997,21692423171.895
"cod",1998,21658915350.4265
"cod",1999,20414680535.0704
"cod",2000,20952319389.942
"cod",2001,20331721327.3669
"cod",2002,21621529330.052
"cod",2003,23493665970.1395
"cod",2004,25645577452.0194
"cod",2005,27733062279.6686
"cod",2006,30417803795.0019
"cod",2007,32997082553.0194
"cod",2008,34650133857.294
"cod",2009,36875084154.8052
"cod",2010,39974566039.3832
"cod",2011,43243275549.0054
"cod",2012,46947732390.4995
"cod",2013,50025251400.4597
"cod",2014,55828711983.5797
"cod",2015,61065792437.6679
"cod",2016,66907175960.3399
"cod",2017,70728832167.2132
"ken",1990,34470630951.2222
"ken",1991,36011050609.6114
"ken",1992,36638710177.7874
"ken",1993,36878242844.3011
"ken",1994,39146678048.4505
"ken",1995,42396351274.6516
"ken",1996,45735987365.1303
"ken",1997,47007592200.7081
"ken",1998,49275722337.0573
"ken",1999,50966875050.5649
"ken",2000,52608777930.1446
"ken",2001,55777031175.8518
"ken",2002,57064552896.2212
"ken",2003,59794639542.2935
"ken",2004,64728035729.1344
"ken",2005,71361399153.0559
"ken",2006,78127883407.2115
"ken",2007,85547400247.6776
"ken",2008,87746886650.2082
"ken",2009,91307406589.5568
"ken",2010,99942123606.8434
"ken",2011,108655317520.867
"ken",2012,115348408834.701
"ken",2013,123110790951.048
"ken",2014,131601254107.426
"ken",2015,141126670839.789
"ken",2016,151474669577.468
"ken",2017,161521607373.812
"rwa",1990,4061479677.89528
"rwa",1991,4086743257.55445
"rwa",1992,4428489002.88116
"rwa",1993,4155097430.27215
"rwa",1994,2116345866.44432
"rwa",1995,2949438155.98659
"rwa",1996,3337866963.68259
"rwa",1997,3869796046.95102
"rwa",1998,4255016948.90313
"rwa",1999,4520934968.5253
"rwa",2000,4999341064.6512
"rwa",2001,5521337733.9383
"rwa",2002,6359766271.83454
"rwa",2003,6597036378.73307
"rwa",2004,7285996230.83971
"rwa",2005,8270269177.20792
"rwa",2006,9322357767.823
"rwa",2007,10351916764.0799
"rwa",2008,11699502420.1419
"rwa",2009,12528437880.8067
"rwa",2010,13603970505.1482
"rwa",2011,14979823165.0363
"rwa",2012,16500083975.9168
"rwa",2013,17463046409.7614
"rwa",2014,19044872782.6528
"rwa",2015,20919812014.2352
"rwa",2016,22436708032.9305
"rwa",2017,24305817030.312
"ssd",2011,22279384955.9546
"ssd",2012,16405058966.3089
"ssd",2013,20923367531.522
"ssd",2014,21244880012.9921
"ssd",2015,21742610770.9195
"ssd",2016,17584121064.4486
"tza",1990,22528581651.2232
"tza",1991,23918955866.1187
"tza",1992,24524154776.6484
"tza",1993,25466536669.674
"tza",1994,26538386941.9712
"tza",1995,28333834309.3321
"tza",1996,30581436016.8993
"tza",1997,32047074784.0948
"tza",1998,33752656422.4391
"tza",1999,35980226815.1377
"tza",2000,38498490716.6264
"tza",2001,40971431615.8953
"tza",2002,45586605110.2771
"tza",2003,49312773644.6522
"tza",2004,54566714576.6942
"tza",2005,60736805195.2659
"tza",2006,66841476733.0134
"tza",2007,73542785112.8218
"tza",2008,79291471165.4576
"tza",2009,84283627212.1646
"tza",2010,90729900568.3497
"tza",2011,100210752121.416
"tza",2012,106532246489.666
"tza",2013,116766008359.413
"tza",2014,126948909446.088
"tza",2015,136449844723.541
"tza",2016,148794881399.017
"tza",2017,162247376575.782
"uga",1990,8517617729.76019
"uga",1991,9293428728.30194
"uga",1992,9700873747.35039
"uga",1993,10927982473.0253
"uga",1994,11873719465.2042
"uga",1995,13589806096.5533
"uga",1996,15131558849.2324
"uga",1997,16256003852.8068
"uga",1998,17261737917.4217
"uga",1999,18917646762.289
"uga",2000,19655003328.5529
"uga",2001,20853211364.9302
"uga",2002,23242169690.5526
"uga",2003,25264374010.2819
"uga",2004,27547985959.3473
"uga",2005,30160059218.309
"uga",2006,34599933963.2794
"uga",2007,38734957826.4148
"uga",2008,42980353339.2284
"uga",2009,46313815079.0122
"uga",2010,49528989659.4085
"uga",2011,55370715714.026
"uga",2012,58291428763.4864
"uga",2013,61283384999.3145
"uga",2014,65489649940.0154
"uga",2015,69930681817.3655
"uga",2016,73995228170.8609
"uga",2017,78005892174.3791
