"geo","time","total_health_spending_per_person_international_dollar"
"bdi",1995,18.37
"bdi",1996,17.5
"bdi",1997,15.89
"bdi",1998,18.14
"bdi",1999,17.62
"bdi",2000,19.84
"bdi",2001,21.76
"bdi",2002,23.23
"bdi",2003,23.67
"bdi",2004,34.73
"bdi",2005,42.32
"bdi",2006,52.02
"bdi",2007,52.32
"bdi",2008,48.62
"bdi",2009,45.4
"bdi",2010,47.29
"cod",1995,10.9
"cod",1996,9.867
"cod",1997,11.09
"cod",1998,12.6
"cod",1999,10.74
"cod",2000,11.19
"cod",2001,9.908
"cod",2002,9.876
"cod",2003,12.54
"cod",2004,14.22
"cod",2005,16.2
"cod",2006,17.87
"cod",2007,19.13
"cod",2008,23.76
"cod",2009,31.35
"cod",2010,27.25
"ken",1995,45.54
"ken",1996,45.71
"ken",1997,45.26
"ken",1998,50.41
"ken",1999,47.66
"ken",2000,53.26
"ken",2001,54.37
"ken",2002,53.14
"ken",2003,53.34
"ken",2004,54.15
"ken",2005,58.69
"ken",2006,65.02
"ken",2007,68.56
"ken",2008,66.1
"ken",2009,75.32
"ken",2010,77.72
"rwa",1995,21.41
"rwa",1996,24.44
"rwa",1997,26
"rwa",1998,29.8
"rwa",1999,24.8
"rwa",2000,24.73
"rwa",2001,27.17
"rwa",2002,29.09
"rwa",2003,44.38
"rwa",2004,47.28
"rwa",2005,54.86
"rwa",2006,99.43
"rwa",2007,92.36
"rwa",2008,100.6
"rwa",2009,110.6
"rwa",2010,121
"tza",1995,22.6
"tza",1996,22.11
"tza",1997,24.5
"tza",1998,23.4
"tza",1999,23.55
"tza",2000,25.24
"tza",2001,27.89
"tza",2002,28.7
"tza",2003,33.42
"tza",2004,33.14
"tza",2005,41.76
"tza",2006,72.72
"tza",2007,68.02
"tza",2008,69.56
"tza",2009,73.12
"tza",2010,83.43
"uga",1995,34.7
"uga",1996,37.26
"uga",1997,36.46
"uga",1998,34.84
"uga",1999,45.01
"uga",2000,45.52
"uga",2001,51.73
"uga",2002,57.68
"uga",2003,61.27
"uga",2004,63.54
"uga",2005,82.47
"uga",2006,99.38
"uga",2007,100.8
"uga",2008,116.9
"uga",2009,118.1
"uga",2010,124.4
