"geo","time","total_health_spending_per_person_us"
"bdi",1995,9.339
"bdi",1996,8.254
"bdi",1997,8.364
"bdi",1998,8.256
"bdi",1999,7.219
"bdi",2000,7.043
"bdi",2001,6.913
"bdi",2002,6.592
"bdi",2003,6.307
"bdi",2004,9.588
"bdi",2005,13.42
"bdi",2006,17.54
"bdi",2007,17.64
"bdi",2008,18.32
"bdi",2009,18.65
"bdi",2010,20.72
"cod",1995,4.8
"cod",1996,4.411
"cod",1997,5.438
"cod",1998,6.322
"cod",1999,11.5
"cod",2000,13.31
"cod",2001,5.886
"cod",2002,4.544
"cod",2003,5.458
"cod",2004,6.485
"cod",2005,7.326
"cod",2006,8.958
"cod",2007,10.22
"cod",2008,13.7
"cod",2009,16.73
"cod",2010,15.75
"ken",1995,14.06
"ken",1996,17.73
"ken",1997,18.66
"ken",1998,21.32
"ken",1999,17.77
"ken",2000,19.04
"ken",2001,18.71
"ken",2002,18.12
"ken",2003,19.61
"ken",2004,19.89
"ken",2005,22.93
"ken",2006,27.79
"ken",2007,32.12
"ken",2008,32.99
"ken",2009,35.54
"ken",2010,36.85
"rwa",1995,10.35
"rwa",1996,11
"rwa",1997,13.51
"rwa",1998,15.07
"rwa",1999,11.15
"rwa",2000,9.042
"rwa",2001,8.643
"rwa",2002,8.055
"rwa",2003,13.22
"rwa",2004,14.42
"rwa",2005,18.31
"rwa",2006,35.48
"rwa",2007,36.49
"rwa",2008,44.08
"rwa",2009,51.5
"rwa",2010,55.51
"tza",1995,6.285
"tza",1996,7.143
"tza",1997,8.872
"tza",1998,9.802
"tza",1999,9.623
"tza",2000,10.1
"tza",2001,10.5
"tza",2002,10.32
"tza",2003,11.88
"tza",2004,11.69
"tza",2005,14.63
"tza",2006,23.43
"tza",2007,23.33
"tza",2008,26.76
"tza",2009,27.12
"tza",2010,30.91
"uga",1995,16.92
"uga",1996,17.29
"uga",1997,16.53
"uga",1998,14.8
"uga",1999,16.05
"uga",2000,15.61
"uga",2001,16.99
"uga",2002,17.63
"uga",2003,18.09
"uga",2004,22.87
"uga",2005,28.7
"uga",2006,33.35
"uga",2007,37.48
"uga",2008,45.32
"uga",2009,44.05
"uga",2010,46.72
