"geo","time","total_reserves_percent_of_debt_to_foreigners"
"bdi",1971,130.07835
"bdi",1972,269.02448
"bdi",1973,277.52173
"bdi",1974,152.23471
"bdi",1975,159.17293
"bdi",1976,219.81687
"bdi",1977,203.0954
"bdi",1978,111.62221
"bdi",1979,71.02323
"bdi",1980,63.15116
"bdi",1981,38.15279
"bdi",1982,16.42574
"bdi",1983,10.88927
"bdi",1984,7.19557
"bdi",1985,7.71349
"bdi",1986,13.28905
"bdi",1987,8.97488
"bdi",1988,9.54794
"bdi",1989,11.98484
"bdi",1990,12.3127
"bdi",1991,15.30652
"bdi",1992,17.52528
"bdi",1993,15.92566
"bdi",1994,18.74247
"bdi",1995,18.5987
"bdi",1996,12.90837
"bdi",1997,11.04245
"bdi",1998,6.28264
"bdi",1999,4.59219
"bdi",2000,3.34382
"bdi",2001,1.64371
"bdi",2002,4.79672
"bdi",2003,4.99623
"bdi",2004,4.87311
"bdi",2005,7.8093
"bdi",2006,9.55885
"bdi",2007,12.56491
"bdi",2008,19.17142
"bdi",2009,53.20713
"bdi",2010,53.48268
"bdi",2011,48.88189
"bdi",2012,46.26849
"bdi",2013,48.17202
"bdi",2014,45.95095
"bdi",2015,21.7474
"bdi",2016,15.03815
"cod",1971,37.47169
"cod",1972,32.1537
"cod",1973,32.21463
"cod",1974,13.78268
"cod",1975,4.13866
"cod",1976,2.92316
"cod",1977,4.82673
"cod",1978,4.3493
"cod",1979,7.41556
"cod",1980,7.96071
"cod",1981,5.77227
"cod",1982,4.45384
"cod",1983,5.04944
"cod",1984,5.31286
"cod",1985,5.43201
"cod",1986,6.27432
"cod",1987,4.7617
"cod",1988,4.33947
"cod",1989,3.04492
"cod",1990,2.5408
"cod",1991,1.78134
"cod",1992,1.50908
"cod",1993,0.48605
"cod",1994,1.06659
"cod",1995,1.1891
"cod",1996,0.64301
"cod",1997,0.79679
"cod",1998,0.62486
"cod",1999,0.67809
"cod",2000,0.69824
"cod",2001,0.70978
"cod",2002,0.73398
"cod",2003,0.85417
