"geo","time","total_sulfur_emission_kilotonnes"
"bdi",1850,0.00032
"bdi",1851,0.00032
"bdi",1852,0.00065
"bdi",1853,0.00097
"bdi",1854,0.0013
"bdi",1855,0.00162
"bdi",1856,0.00195
"bdi",1857,0.00227
"bdi",1858,0.0026
"bdi",1859,0.00293
"bdi",1860,0.00325
"bdi",1861,0.00646
"bdi",1862,0.00967
"bdi",1863,0.01289
"bdi",1864,0.0161
"bdi",1865,0.01931
"bdi",1866,0.02252
"bdi",1867,0.02573
"bdi",1868,0.02895
"bdi",1869,0.03216
"bdi",1870,0.03537
"bdi",1871,0.03859
"bdi",1872,0.04193
"bdi",1873,0.04528
"bdi",1874,0.04863
"bdi",1875,0.05197
"bdi",1876,0.05532
"bdi",1877,0.05867
"bdi",1878,0.06201
"bdi",1879,0.06536
"bdi",1880,0.06871
"bdi",1881,0.07781
"bdi",1882,0.07253
"bdi",1883,0.07301
"bdi",1884,0.07348
"bdi",1885,0.08086
"bdi",1886,0.08823
"bdi",1887,0.09561
"bdi",1888,0.1033
"bdi",1889,0.1148
"bdi",1890,0.1214
"bdi",1891,0.1023
"bdi",1892,0.132
"bdi",1893,0.1153
"bdi",1894,0.1433
"bdi",1895,0.1265
"bdi",1896,0.1423
"bdi",1897,0.1603
"bdi",1898,0.1658
"bdi",1899,0.1672
"bdi",1900,0.1998
"bdi",1901,0.2176
"bdi",1902,0.1147
"bdi",1903,0.1256
"bdi",1904,0.1491
"bdi",1905,0.162
"bdi",1906,0.1584
"bdi",1907,0.1715
"bdi",1908,0.2249
"bdi",1909,0.2061
"bdi",1910,0.2459
"bdi",1911,0.2137
"bdi",1912,0.2449
"bdi",1913,0.2798
"bdi",1914,0.3025
"bdi",1915,0.3458
"bdi",1916,0.3804
"bdi",1917,0.3267
"bdi",1918,0.3507
"bdi",1919,0.3837
"bdi",1920,0.4026
"bdi",1921,0.5523
"bdi",1922,0.5693
"bdi",1923,0.6975
"bdi",1924,0.736
"bdi",1925,0.7294
"bdi",1926,0.7162
"bdi",1927,0.7831
"bdi",1928,0.8126
"bdi",1929,0.9141
"bdi",1930,0.9951
"bdi",1931,0.8202
"bdi",1932,0.6839
"bdi",1933,0.8253
"bdi",1934,0.9961
"bdi",1935,1.067
"bdi",1936,1.107
"bdi",1937,1.411
"bdi",1938,1.356
"bdi",1939,1.444
"bdi",1940,1.342
"bdi",1941,1.384
"bdi",1942,1.411
"bdi",1943,1.416
"bdi",1944,1.375
"bdi",1945,1.364
"bdi",1946,1.321
"bdi",1947,1.396
"bdi",1948,1.624
"bdi",1949,1.682
"bdi",1950,1.758
"bdi",1951,1.751
"bdi",1952,1.928
"bdi",1953,2.017
"bdi",1954,2.072
"bdi",1955,2.187
"bdi",1956,2.413
"bdi",1957,2.468
"bdi",1958,2.522
"bdi",1959,2.627
"bdi",1960,2.437
"bdi",1961,2.458
"bdi",1962,2.496
"bdi",1963,2.546
"bdi",1964,2.603
"bdi",1965,2.663
"bdi",1966,2.722
"bdi",1967,2.778
