"geo","time","trade_balance_percent_of_gdp"
"bdi",1960,-0.89286
"bdi",1961,-1.72414
"bdi",1962,-3.27869
"bdi",1963,-6.76692
"bdi",1964,2.01342
"bdi",1965,-2.18633
"bdi",1966,-2.21602
"bdi",1967,-1.08519
"bdi",1968,-3.07112
"bdi",1969,-2.43586
"bdi",1970,-0.93224
"bdi",1971,-5.73593
"bdi",1972,-3.34053
"bdi",1973,-2.31656
"bdi",1974,-5.78054
"bdi",1975,-10.72612
"bdi",1976,-2.92639
"bdi",1977,0.30419
"bdi",1978,-8.51871
"bdi",1979,-8.5595
"bdi",1980,-14.48268
"bdi",1981,-12.89435
"bdi",1982,-16.69547
"bdi",1983,-15.70218
"bdi",1984,-12.0483
"bdi",1985,-9.76028
"bdi",1986,-10.5924
"bdi",1987,-15.99373
"bdi",1988,-13.36241
"bdi",1989,-13.19782
"bdi",1990,-19.90215
"bdi",1991,-18.58781
"bdi",1992,-20.72777
"bdi",1993,-17.77907
"bdi",1994,-18.20999
"bdi",1995,-14.35194
"bdi",1996,-9.93308
"bdi",1997,-4.60443
"bdi",1998,-11.44053
"bdi",1999,-8.38823
"bdi",2000,-9.91578
"bdi",2001,-10.60564
"bdi",2002,-12.30222
"bdi",2003,-14.61348
"bdi",2004,-17.67062
"bdi",2005,-25.24181
"bdi",2006,-39.58769
"bdi",2007,-26.96537
"bdi",2008,-28.4344
"bdi",2009,-36.32116
"bdi",2010,-30.26241
"bdi",2011,-28.31178
"bdi",2012,-28.51872
"bdi",2013,-26.84953
"bdi",2014,-25.77064
"bdi",2015,-23.48796
"bdi",2016,-25.67441
"cod",1960,-0.50054
"cod",1961,0.47064
"cod",1962,0.30819
"cod",1963,0.11389
"cod",1964,-3.80162
"cod",1965,-1.31017
"cod",1966,-6.90143
"cod",1967,-0.82042
"cod",1968,-0.78605
"cod",1969,-1.04677
"cod",1970,-2.76376
"cod",1971,-6.39719
"cod",1972,-4.52631
"cod",1973,-2.4347
"cod",1974,-2.84937
"cod",1975,-5.1278
"cod",1976,-7.49599
"cod",1977,-9.34456
"cod",1978,3.15138
"cod",1979,2.60733
"cod",1980,0.12657
"cod",1981,-3.00108
"cod",1982,-1.80301
"cod",1983,-1.05261
"cod",1984,-0.1043
"cod",1985,1.87673
"cod",1986,0.67947
"cod",1987,-2.88036
"cod",1988,-2.32303
"cod",1989,0.65105
"cod",1990,0.29924
"cod",1991,0
"cod",1992,-1.12994
"cod",1993,2.22883
"cod",1994,2.73387
"cod",1995,4.75605
"cod",1996,-0.31073
"cod",1997,3.75
"cod",1998,-3.09913
"cod",1999,6.09368
"cod",2000,-4.11518
"cod",2001,-1.06657
"cod",2002,2.02584
"cod",2003,-6.03047
"cod",2004,-3.87739
"cod",2005,-6.42624
"cod",2006,-4.56306
"cod",2007,-1.99823
"cod",2008,-5.71669
"cod",2009,-9.3193
"cod",2010,-8.5253
"cod",2011,-6.16691
"cod",2012,-6.74569
"cod",2013,-4.57422
"cod",2014,-5.02577
"cod",2015,-3.8813
"cod",2016,-5.15288
"cod",2017,-3.82827
"ken",1960,-2.57436
"ken",1961,1.58722
"ken",1962,1.91266
"ken",1963,3.07018
"ken",1964,4.17718
"ken",1965,0.70146
"ken",1966,1.53883
"ken",1967,-0.90868
"ken",1968,0.10345
"ken",1969,1.43995
"ken",1970,-0.83819
"ken",1971,-6.54975
"ken",1972,-2.13925
"ken",1973,-1.27518
"ken",1974,-7.22164
"ken",1975,-4.6879
"ken",1976,0.69483
"ken",1977,3.36577
"ken",1978,-9.7525
"ken",1979,-5.85787
"ken",1980,-6.38287
"ken",1981,-3.36042
"ken",1982,-4.90081
"ken",1983,-2.26284
"ken",1984,-5.30411
"ken",1985,-4.84757
"ken",1986,-4.04468
"ken",1987,-5.09233
"ken",1988,-5.23255
"ken",1989,-7.09032
"ken",1990,-5.6357
"ken",1991,-1.51443
"ken",1992,-0.41012
"ken",1993,4.94878
"ken",1994,2.81444
"ken",1995,-6.56234
"ken",1996,-6.91091
"ken",1997,-8.68434
"ken",1998,-8.55872
"ken",1999,-6.5268
"ken",2000,-10.1339
"ken",2001,-10.08368
"ken",2002,-5.37673
"ken",2003,-5.95864
"ken",2004,-6.25649
"ken",2005,-7.46081
"ken",2006,-9.26661
"ken",2007,-10.05681
"ken",2008,-12.23048
"ken",2009,-10.79838
"ken",2010,-12.9129
"ken",2011,-17.19611
"ken",2012,-13.33101
"ken",2013,-13.28222
"ken",2014,-14.70434
"ken",2015,-11.02643
"ken",2016,-8.80893
"ken",2017,-11.53749
"rwa",1960,2.35294
"rwa",1961,1.63934
"rwa",1962,-3.52
"rwa",1963,-6.71875
"rwa",1964,-0.61538
"rwa",1965,-4.83871
"rwa",1966,-8.7188
"rwa",1967,-4.90098
"rwa",1968,-6.39954
"rwa",1969,-6.67726
"rwa",1970,-3.72897
"rwa",1971,-6.65767
"rwa",1972,-7.97357
"rwa",1973,-1.84426
"rwa",1974,-9.17016
"rwa",1975,-8.52757
"rwa",1976,-4.81655
"rwa",1977,-3.39243
"rwa",1978,-9.01912
"rwa",1979,-1.70532
"rwa",1980,-11.94555
"rwa",1981,-11.92922
"rwa",1982,-12.59793
"rwa",1983,-9.17722
"rwa",1984,-7.03283
"rwa",1985,-9.10488
"rwa",1986,-7.5702
"rwa",1987,-11.69118
"rwa",1988,-10.98373
"rwa",1989,-11.1492
"rwa",1990,-8.45494
"rwa",1991,-10.73876
"rwa",1992,-12.69463
"rwa",1993,-15.32852
"rwa",1994,-58.49046
"rwa",1995,-20.67059
"rwa",1996,-20.16733
"rwa",1997,-17.87278
"rwa",1998,-17.62434
"rwa",1999,-18.28693
"rwa",2000,-18.55853
"rwa",2001,-15.81009
"rwa",2002,-16.66236
"rwa",2003,-15.08631
"rwa",2004,-13.63832
"rwa",2005,-13.78635
"rwa",2006,-12.80376
"rwa",2007,-9.55126
"rwa",2008,-17.28089
"rwa",2009,-17.94188
"rwa",2010,-17.95202
"rwa",2011,-16.60208
"rwa",2012,-18.99773
"rwa",2013,-17.83969
"rwa",2014,-18.18847
"rwa",2015,-24.06185
"rwa",2016,-18.17911
"rwa",2017,-14.53122
"ssd",2011,41.28414
"ssd",2012,-24.81873
"ssd",2013,-1.87639
"ssd",2014,2.36395
"ssd",2015,-7.85633
"ssd",2016,-6.79941
"tza",1990,-24.83348
"tza",1991,-23.37709
"tza",1992,-26.91174
"tza",1993,-29.7245
"tza",1994,-23.01099
"tza",1995,-17.43297
"tza",1996,-12.00634
"tza",1997,-9.47141
"tza",1998,-12.62217
"tza",1999,-10.32468
"tza",2000,-6.76104
"tza",2001,-4.27712
"tza",2002,-2.25958
"tza",2003,-4.24842
"tza",2004,-6.41453
"tza",2005,-5.25373
"tza",2006,-7.90456
"tza",2007,-12.76529
"tza",2008,-12.14044
"tza",2009,-8.90416
"tza",2010,-10.38357
"tza",2011,-15.28232
"tza",2012,-11.82646
"tza",2013,-13.4182
"tza",2014,-10.37416
"tza",2015,-3.15323
"tza",2016,-3.14643
"uga",1960,5.51307
"uga",1961,2.77436
"uga",1962,2.65969
"uga",1963,4.41039
"uga",1964,6.80173
"uga",1965,1.21874
"uga",1966,0.24206
"uga",1967,0.91185
"uga",1968,1.32254
"uga",1969,1.18605
"uga",1970,3.23441
"uga",1971,-4.13909
"uga",1972,2.61033
"uga",1973,3.3975
"uga",1974,-0.32604
"uga",1975,-2.26502
"uga",1976,1.78156
"uga",1977,1.35417
"uga",1978,-5.20964
"uga",1979,1.87001
"uga",1980,-6.58841
"uga",1981,-5.9822
"uga",1982,-9.13892
"uga",1983,-4.98438
"uga",1984,-1.63273
"uga",1985,-1.26981
"uga",1986,-2.42817
"uga",1987,-9.79619
"uga",1988,-10.2047
"uga",1989,-10.13883
"uga",1990,-12.1281
"uga",1991,-14.47334
"uga",1992,-15.52997
"uga",1993,-14.11479
"uga",1994,-10.3583
"uga",1995,-9.03916
"uga",1996,-11.46326
"uga",1997,-7.43954
"uga",1998,-10.76583
"uga",1999,-11.52156
"uga",2000,-11.44621
"uga",2001,-12.29381
"uga",2002,-13.85124
"uga",2003,-13.81228
"uga",2004,-10.06632
"uga",2005,-10.63489
"uga",2006,-13.08246
"uga",2007,-13.32728
"uga",2008,-7.69798
"uga",2009,-12.20879
"uga",2010,-11.45623
"uga",2011,-14.90129
"uga",2012,-12.90505
"uga",2013,-10.30048
"uga",2014,-9.97601
"uga",2015,-10.77581
"uga",2016,-10.05858
"uga",2017,-7.39437
