"geo","time","trade_balance_us_not_inflation_adjusted"
"bdi",1960,-1750002
"bdi",1961,-3500000
"bdi",1962,-7e+06
"bdi",1963,-15750000
"bdi",1964,5249998
"bdi",1965,-3476148.14815
"bdi",1966,-3666285.71429
"bdi",1967,-1934857.14286
"bdi",1968,-5626285.71429
"bdi",1969,-4633142.85714
"bdi",1970,-2262857.14286
"bdi",1971,-14502857.14286
"bdi",1972,-8244571.42857
"bdi",1973,-7050208.68218
"bdi",1974,-19958095.2381
"bdi",1975,-45155555.55556
"bdi",1976,-13122318.84058
"bdi",1977,1665555.55556
"bdi",1978,-51983333.33333
"bdi",1979,-66977777.77778
"bdi",1980,-133201111.11111
"bdi",1981,-124952222.22222
"bdi",1982,-169162222.22222
"bdi",1983,-170043033.88919
"bdi",1984,-118934090.71924
"bdi",1985,-112241235.39647
"bdi",1986,-127291596.7417
"bdi",1987,-180963682.4215
"bdi",1988,-144635190.71192
"bdi",1989,-147013717.40816
"bdi",1990,-225312545.61911
"bdi",1991,-216993753.61544
"bdi",1992,-224489561.36013
"bdi",1993,-166880195.2224
"bdi",1994,-168448010.1954
"bdi",1995,-143580889.90143
"bdi",1996,-86321830.22296
"bdi",1997,-44796367.24847
"bdi",1998,-102252114.83324
"bdi",1999,-67783377.1027
"bdi",2000,-86315511.95415
"bdi",2001,-92989703.13723
"bdi",2002,-101541854.66934
"bdi",2003,-114665348.87587
"bdi",2004,-161731658.35536
"bdi",2005,-282015930.06953
"bdi",2006,-504022811.29008
"bdi",2007,-365671577.64008
"bdi",2008,-458258594.90518
"bdi",2009,-631908749.55454
"bdi",2010,-613378056.26057
"bdi",2011,-666927132.62583
"bdi",2012,-705092583.34942
"bdi",2013,-728832039.90404
"bdi",2014,-797252604.55139
"bdi",2015,-720301047.93145
"bdi",2016,-772036885.04775
"cod",1960,-16815294.11765
"cod",1961,14527428.57143
"cod",1962,11649047.61905
"cod",1963,7076039.60396
"cod",1964,-109545272.72727
"cod",1965,-52981818.18182
"cod",1966,-312818181.81818
"cod",1967,-27763659.94236
"cod",1968,-30732814.37126
"cod",1969,-52678263.47305
"cod",1970,-134807724.5509
"cod",1971,-357907844.31138
"cod",1972,-279441077.84431
"cod",1973,-191616826.3473
"cod",1974,-273453173.6527
"cod",1975,-524950059.88024
"cod",1976,-723256699.27422
"cod",1977,-1153531838.87916
"cod",1978,484449617.22488
"cod",1979,392882864.16896
"cod",1980,18218951.50487
"cod",1981,-376269446.66286
"cod",1982,-246140357.46902
"cod",1983,-115857697.5905
"cod",1984,-8195231.33889
"cod",1985,135031600.25871
"cod",1986,55005942.78812
"cod",1987,-220682698.64787
"cod",1988,-205850424.58656
"cod",1989,58736822.78672
"cod",1990,27977851.10335
"cod",1991,0
"cod",1992,-92964337.93522
"cod",1993,238623921.32413
"cod",1994,159121472.38236
"cod",1995,268404527.6952
"cod",1996,-17933674.99309
"cod",1997,228406523.41212
"cod",1998,-192629263.19815
"cod",1999,287089027.27273
"cod",2000,-785507246.37681
"cod",2001,-79333333.33333
"cod",2002,176816093.09122
"cod",2003,-538977309.67194
"cod",2004,-399273347.54029
"cod",2005,-768866396.68009
"cod",2006,-659449351.53033
"cod",2007,-334444767.7428
"cod",2008,-1131248726.62192
"cod",2009,-1737898551.89119
"cod",2010,-1838542962.00746
"cod",2011,-1593514299.43138
"cod",2012,-1976907945.01255
"cod",2013,-1494475514.1683
"cod",2014,-1805139380.8176
"cod",2015,-1471698121.79298
"cod",2016,-1803051790.05001
"cod",2017,-1425699296.38901
"ken",1960,-20370005.8346
"ken",1961,12585994.95485
