"geo","time","under_five_mortality_from_cme_per_1000_born"
"bdi",1958,252.8
"bdi",1959,251.6
"bdi",1960,249.4
"bdi",1961,247.3
"bdi",1962,245.7
"bdi",1963,243.2
"bdi",1964,241.3
"bdi",1965,239.7
"bdi",1966,237.3
"bdi",1967,235.3
"bdi",1968,233.8
"bdi",1969,231.1
"bdi",1970,228.8
"bdi",1971,226.9
"bdi",1972,224.9
"bdi",1973,222.7
"bdi",1974,220.1
"bdi",1975,217.1
"bdi",1976,213.4
"bdi",1977,210.4
"bdi",1978,207
"bdi",1979,203.5
"bdi",1980,200
"bdi",1981,196.5
"bdi",1982,193.2
"bdi",1983,190.5
"bdi",1984,189.1
"bdi",1985,186.2
"bdi",1986,185.9
"bdi",1987,184.4
"bdi",1988,183.9
"bdi",1989,182.8
"bdi",1990,182.6
"bdi",1991,182.8
"bdi",1992,182
"bdi",1993,181.8
"bdi",1994,179.8
"bdi",1995,177.1
"bdi",1996,175.1
"bdi",1997,172.5
"bdi",1998,169.6
"bdi",1999,167.7
"bdi",2000,164.6
"bdi",2001,162.7
"bdi",2002,159.9
"bdi",2003,158.3
"bdi",2004,155.8
"bdi",2005,152.8
"bdi",2006,150.5
"bdi",2007,148.1
"bdi",2008,146.3
"bdi",2009,144
"bdi",2010,141.7
"bdi",2011,139.1
"cod",1968,254.2
"cod",1969,249.2
"cod",1970,244.1
"cod",1971,239.4
"cod",1972,234.8
"cod",1973,230
"cod",1974,225.6
"cod",1975,221.1
"cod",1976,216.5
"cod",1977,212
"cod",1978,207.9
"cod",1979,203.5
"cod",1980,199.3
"cod",1981,195.5
"cod",1982,191.4
"cod",1983,187.5
"cod",1984,183.6
"cod",1985,181.4
"cod",1986,181.4
"cod",1987,181.4
"cod",1988,181.4
"cod",1989,181.4
"cod",1990,181.4
"cod",1991,181.4
"cod",1992,181.4
"cod",1993,181.4
"cod",1994,181.4
"cod",1995,181.4
"cod",1996,181.4
"cod",1997,181.4
"cod",1998,181.4
"cod",1999,181.4
"cod",2000,181.4
"cod",2001,181.4
"cod",2002,181.4
"cod",2003,181.4
"cod",2004,181.4
"cod",2005,181.4
"cod",2006,179
"cod",2007,176.7
"cod",2008,174.4
"cod",2009,172.1
"cod",2010,169.9
"cod",2011,167.7
"ken",1951,290.5
"ken",1952,278.5
"ken",1953,267
"ken",1954,256.1
"ken",1955,245.8
"ken",1956,235.7
"ken",1957,226.1
"ken",1958,216.4
"ken",1959,207.3
"ken",1960,199.4
"ken",1961,192
"ken",1962,185.1
"ken",1963,179.1
"ken",1964,173.3
"ken",1965,169.2
"ken",1966,165.9
"ken",1967,163.6
"ken",1968,160.4
"ken",1969,158.6
"ken",1970,152.9
"ken",1971,148.9
"ken",1972,145.6
"ken",1973,142.9
"ken",1974,140.5
"ken",1975,135
"ken",1976,129.8
"ken",1977,122.5
"ken",1978,117
"ken",1979,112.3
"ken",1980,108.3
"ken",1981,105.3
"ken",1982,102.8
"ken",1983,99.8
"ken",1984,97.4
"ken",1985,95.8
"ken",1986,93.5
"ken",1987,92.1
"ken",1988,92.8
"ken",1989,94.4
"ken",1990,97.8
"ken",1991,102.3
"ken",1992,106.7
"ken",1993,108.6
"ken",1994,110.4
"ken",1995,112.2
"ken",1996,113.7
"ken",1997,114.8
"ken",1998,116.3
"ken",1999,116.7
"ken",2000,113.1
"ken",2001,109.2
"ken",2002,105.5
"ken",2003,101.9
"ken",2004,98.3
"ken",2005,94.1
