"geo","time","under_five_mortality_from_ihme_per_1000_born"
"bdi",1970,224.6
"bdi",1971,221.6
"bdi",1972,218.8
"bdi",1973,216.5
"bdi",1974,214.1
"bdi",1975,211.8
"bdi",1976,209.3
"bdi",1977,206.6
"bdi",1978,203.4
"bdi",1979,200
"bdi",1980,197.7
"bdi",1981,195.6
"bdi",1982,193.8
"bdi",1983,193.4
"bdi",1984,193.1
"bdi",1985,193
"bdi",1986,192.9
"bdi",1987,192.8
"bdi",1988,192.6
"bdi",1989,192.2
"bdi",1990,191.4
"bdi",1991,191.5
"bdi",1992,192.2
"bdi",1993,192.2
"bdi",1994,192.2
"bdi",1995,192.3
"bdi",1996,192.4
"bdi",1997,192.6
"bdi",1998,192.9
"bdi",1999,192.4
"bdi",2000,192
"bdi",2001,191.5
"bdi",2002,191.1
"bdi",2003,190.9
"bdi",2004,190.4
"bdi",2005,190.3
"bdi",2006,189.8
"bdi",2007,189.6
"bdi",2008,189.2
"bdi",2009,188.8
"bdi",2010,188.2
"bdi",2011,187.9
"bdi",2012,187.5
"bdi",2013,187.1
"bdi",2014,186.8
"bdi",2015,186.7
"cod",1970,231.5
"cod",1971,229.8
"cod",1972,228.1
"cod",1973,226.5
"cod",1974,224.8
"cod",1975,223.2
"cod",1976,221.4
"cod",1977,219.6
"cod",1978,218.1
"cod",1979,216.7
"cod",1980,215.4
"cod",1981,213.9
"cod",1982,212.4
"cod",1983,210.9
"cod",1984,209.5
"cod",1985,208.1
"cod",1986,206.8
"cod",1987,206.2
"cod",1988,206.4
"cod",1989,206.8
"cod",1990,207.4
"cod",1991,208
"cod",1992,208.7
"cod",1993,209.3
"cod",1994,209.6
"cod",1995,210.3
"cod",1996,211.4
"cod",1997,212.2
"cod",1998,212.9
"cod",1999,213.7
"cod",2000,214.5
"cod",2001,215.3
"cod",2002,216.1
"cod",2003,216.9
"cod",2004,217.4
"cod",2005,218.2
"cod",2006,218.9
"cod",2007,219.5
"cod",2008,220.4
"cod",2009,221.1
"cod",2010,221.9
"cod",2011,222.8
"cod",2012,223.7
"cod",2013,224.5
"cod",2014,224.9
"cod",2015,225.7
"ken",1970,149.2
"ken",1971,144.9
"ken",1972,140.9
"ken",1973,137.6
"ken",1974,134.1
"ken",1975,130.2
"ken",1976,126.4
"ken",1977,123.2
"ken",1978,120.1
"ken",1979,117.1
"ken",1980,114.5
"ken",1981,112.4
"ken",1982,110.3
"ken",1983,108.6
"ken",1984,107.5
"ken",1985,106.5
"ken",1986,105.6
"ken",1987,104.8
"ken",1988,104
"ken",1989,103.3
"ken",1990,101.9
"ken",1991,100.9
"ken",1992,101.5
"ken",1993,101
"ken",1994,100.5
"ken",1995,100.1
"ken",1996,99.7
"ken",1997,99.4
"ken",1998,99.1
"ken",1999,98.8
"ken",2000,98.6
"ken",2001,98.4
"ken",2002,98.3
"ken",2003,97.5
"ken",2004,96.8
"ken",2005,96.1
"ken",2006,95.4
"ken",2007,94.7
"ken",2008,94.1
"ken",2009,93.4
"ken",2010,92.7
"ken",2011,92
"ken",2012,91.4
"ken",2013,90.7
"ken",2014,90.1
"ken",2015,89.4
"rwa",1970,212.9
"rwa",1971,211.5
"rwa",1972,210.2
"rwa",1973,208.8
"rwa",1974,207.5
"rwa",1975,206.1
"rwa",1976,204.9
"rwa",1977,203.7
"rwa",1978,202.5
"rwa",1979,201.4
"rwa",1980,200.1
"rwa",1981,198.6
"rwa",1982,197.3
"rwa",1983,195.5
"rwa",1984,194.2
"rwa",1985,192.9
"rwa",1986,191.6
"rwa",1987,190.2
"rwa",1988,188.7
"rwa",1989,187.3
"rwa",1990,185.8
"rwa",1991,184.3
"rwa",1992,183.3
"rwa",1993,182.1
"rwa",1994,180.9
"rwa",1995,179.6
"rwa",1996,178.5
"rwa",1997,177.2
"rwa",1998,176
"rwa",1999,174.8
"rwa",2000,173.7
"rwa",2001,172.6
"rwa",2002,171.4
