"geo","time","urban_population"
"bdi",1960,57867
"bdi",1961,60059
"bdi",1962,62330
"bdi",1963,64692
"bdi",1964,67232
"bdi",1965,70606
"bdi",1966,75508
"bdi",1967,80883
"bdi",1968,86587
"bdi",1969,92459
"bdi",1970,98312
"bdi",1971,104110
"bdi",1972,109901
"bdi",1973,115800
"bdi",1974,122200
"bdi",1975,129420
"bdi",1976,137545
"bdi",1977,146657
"bdi",1978,156746
"bdi",1979,167676
"bdi",1980,178629
"bdi",1981,190170
"bdi",1982,202542
"bdi",1983,215763
"bdi",1984,230073
"bdi",1985,245495
"bdi",1986,262268
"bdi",1987,280311
"bdi",1988,299426
"bdi",1989,319283
"bdi",1990,339601
"bdi",1991,357739
"bdi",1992,375730
"bdi",1993,393782
"bdi",1994,411835
"bdi",1995,429924
"bdi",1996,447767
"bdi",1997,465620
"bdi",1998,484391
"bdi",1999,504576
"bdi",2000,527802
"bdi",2001,554689
"bdi",2002,585303
"bdi",2003,619383
"bdi",2004,656404
"bdi",2005,695933
"bdi",2006,738137
"bdi",2007,783159
"bdi",2008,830917
"bdi",2009,880822
"bdi",2010,932977
"bdi",2011,987099
"bdi",2012,1043248
"bdi",2013,1102293
"bdi",2014,1164857
"bdi",2015,1231868
"bdi",2016,1303728
"bdi",2017,1380411
"cod",1960,3400360
"cod",1961,3522087
"cod",1962,3649227
"cod",1963,3782293
"cod",1964,3922386
"cod",1965,4070458
"cod",1966,4227193
"cod",1967,4392209
"cod",1968,4564512
"cod",1969,4742135
"cod",1970,4924045
"cod",1971,5109255
"cod",1972,5298832
"cod",1973,5494101
"cod",1974,5698346
"cod",1975,5913608
"cod",1976,6141379
"cod",1977,6381228
"cod",1978,6629703
"cod",1979,6882261
"cod",1980,7135492
"cod",1981,7389075
"cod",1982,7645273
"cod",1983,7907917
"cod",1984,8183134
"cod",1985,8520667
"cod",1986,8877409
"cod",1987,9254003
"cod",1988,9660247
"cod",1989,10107232
"cod",1990,10603485
"cod",1991,11157659
"cod",1992,11766277
"cod",1993,12405780
"cod",1994,13044652
"cod",1995,13659210
"cod",1996,14237886
"cod",1997,14789168
"cod",1998,15335013
"cod",1999,15908019
"cod",2000,16534169
"cod",2001,17222093
"cod",2002,17968282
"cod",2003,18770723
"cod",2004,19622660
"cod",2005,20521401
"cod",2006,21469947
"cod",2007,22473236
"cod",2008,23531217
"cod",2009,24646110
"cod",2010,25817693
"cod",2011,27048361
"cod",2012,28337822
"cod",2013,29686725
"cod",2014,31096302
"cod",2015,32566435
"cod",2016,34098266
"cod",2017,35691987
"ken",1960,596722
"ken",1961,632543
"ken",1962,670816
"ken",1963,716059
"ken",1964,765269
"ken",1965,817880
"ken",1966,874399
"ken",1967,935126
"ken",1968,1000339
"ken",1969,1070470
"ken",1970,1158444
"ken",1971,1256447
"ken",1972,1363225
"ken",1973,1479149
"ken",1974,1605073
"ken",1975,1741663
"ken",1976,1889975
"ken",1977,2050233
"ken",1978,2223987
"ken",1979,2412236
"ken",1980,2535197
"ken",1981,2650352
