"geo","time","urban_population_growth_annual_percent"
"bdi",1960,3.79158
"bdi",1961,3.71801
"bdi",1962,3.71154
"bdi",1963,3.71947
"bdi",1964,3.85118
"bdi",1965,4.89658
"bdi",1966,6.71235
"bdi",1967,6.87651
"bdi",1968,6.8146
"bdi",1969,6.56156
"bdi",1970,6.13808
"bdi",1971,5.73019
"bdi",1972,5.41319
"bdi",1973,5.22846
"bdi",1974,5.37945
"bdi",1975,5.74039
"bdi",1976,6.08882
"bdi",1977,6.41454
"bdi",1978,6.65301
"bdi",1979,6.74069
"bdi",1980,6.32775
"bdi",1981,6.26074
"bdi",1982,6.30289
"bdi",1983,6.32333
"bdi",1984,6.42161
"bdi",1985,6.48799
"bdi",1986,6.60903
"bdi",1987,6.65328
"bdi",1988,6.59676
"bdi",1989,6.42105
"bdi",1990,6.16935
"bdi",1991,5.20323
"bdi",1992,4.90671
"bdi",1993,4.69267
"bdi",1994,4.48253
"bdi",1995,4.29857
"bdi",1996,4.06646
"bdi",1997,3.90968
"bdi",1998,3.95226
"bdi",1999,4.0826
"bdi",2000,4.50027
"bdi",2001,4.96864
"bdi",2002,5.37221
"bdi",2003,5.65942
"bdi",2004,5.80526
"bdi",2005,5.84769
"bdi",2006,5.88761
"bdi",2007,5.92063
"bdi",2008,5.91942
"bdi",2009,5.83257
"bdi",2010,5.7525
"bdi",2011,5.63898
"bdi",2012,5.53239
"bdi",2013,5.50536
"bdi",2014,5.52058
"bdi",2015,5.59334
"bdi",2016,5.66961
"bdi",2017,5.71534
"cod",1960,4.02274
"cod",1961,3.51724
"cod",1962,3.54617
"cod",1963,3.58151
"cod",1964,3.63697
"cod",1965,3.70554
"cod",1966,3.77827
"cod",1967,3.82941
"cod",1968,3.84793
"cod",1969,3.81758
"cod",1970,3.76429
"cod",1971,3.69233
"cod",1972,3.64328
"cod",1973,3.61886
"cod",1974,3.6501
"cod",1975,3.70802
"cod",1976,3.77932
"cod",1977,3.83112
"cod",1978,3.81995
"cod",1979,3.73872
"cod",1980,3.6134
"cod",1981,3.49214
"cod",1982,3.4085
"cod",1983,3.37769
"cod",1984,3.42108
"cod",1985,4.04194
"cod",1986,4.10151
"cod",1987,4.15465
"cod",1988,4.2963
"cod",1989,4.5232
"cod",1990,4.79315
"cod",1991,5.09434
"cod",1992,5.31114
"cod",1993,5.29249
"cod",1994,5.02157
"cod",1995,4.60358
"cod",1996,4.14924
"cod",1997,3.79886
"cod",1998,3.62436
"cod",1999,3.66847
"cod",2000,3.86058
"cod",2001,4.07639
"cod",2002,4.24151
"cod",2003,4.36903
"cod",2004,4.43867
"cod",2005,4.47833
"cod",2006,4.51859
"cod",2007,4.56709
"cod",2008,4.60028
"cod",2009,4.62912
"cod",2010,4.6441
"cod",2011,4.65664
"cod",2012,4.6571
"cod",2013,4.65026
"cod",2014,4.63889
"cod",2015,4.61933
"cod",2016,4.59644
"cod",2017,4.56797
"ken",1960,5.79515
"ken",1961,5.82969
"ken",1962,5.87467
"ken",1963,6.52677
"ken",1964,6.64648
"ken",1965,6.64882
"ken",1966,6.68212
"ken",1967,6.71445
"ken",1968,6.74129
"ken",1969,6.77589
"ken",1970,7.89799
"ken",1971,8.12102
"ken",1972,8.15653
"ken",1973,8.16137
"ken",1974,8.17023
"ken",1975,8.16712
"ken",1976,8.17232
"ken",1977,8.13898
"ken",1978,8.13481
"ken",1979,8.12526
"ken",1980,4.97172
"ken",1981,4.44211
"ken",1982,4.44718
"ken",1983,4.42474
"ken",1984,4.38502
"ken",1985,4.32216
"ken",1986,4.2609
"ken",1987,4.19243
"ken",1988,4.1239
"ken",1989,4.04351
"ken",1990,4.92611
"ken",1991,5.01268
"ken",1992,4.93155
"ken",1993,4.84825
"ken",1994,4.76275
"ken",1995,4.67898
"ken",1996,4.60346
"ken",1997,4.52696
"ken",1998,4.47818
"ken",1999,4.44382
"ken",2000,4.47436
"ken",2001,4.46116
"ken",2002,4.44823
"ken",2003,4.4419
"ken",2004,4.44182
"ken",2005,4.43557
"ken",2006,4.43906
"ken",2007,4.43884
"ken",2008,4.43227
"ken",2009,4.40908
"ken",2010,4.38819
"ken",2011,4.38624
"ken",2012,4.37694
"ken",2013,4.36839
"ken",2014,4.34364
"ken",2015,4.31718
"ken",2016,4.28807
"ken",2017,4.25858
"rwa",1960,4.56993
"rwa",1961,4.16917
"rwa",1962,3.89106
"rwa",1963,3.74764
"rwa",1964,3.95106
"rwa",1965,4.26021
"rwa",1966,4.6901
"rwa",1967,4.99857
"rwa",1968,5.21375
"rwa",1969,5.19616
"rwa",1970,5.13811
"rwa",1971,7.33596
"rwa",1972,7.48002
"rwa",1973,7.443
"rwa",1974,7.51277
"rwa",1975,7.6098
"rwa",1976,7.67002
"rwa",1977,7.72783
"rwa",1978,7.79628
"rwa",1979,5.11945
"rwa",1980,4.80212
"rwa",1981,4.70201
"rwa",1982,4.61703
"rwa",1983,4.67329
"rwa",1984,4.97788
"rwa",1985,5.34393
"rwa",1986,5.96621
"rwa",1987,6.31495
"rwa",1988,5.70762
"rwa",1989,3.96629
"rwa",1990,1.64944
"rwa",1991,-1.20114
"rwa",1992,8.46386
"rwa",1993,8.91621
"rwa",1994,10.13101
"rwa",1995,13.43526
"rwa",1996,17.62512
"rwa",1997,15.61424
"rwa",1998,13.97192
"rwa",1999,13.29129
"rwa",2000,11.48771
"rwa",2001,9.58825
"rwa",2002,8.26893
"rwa",2003,2.42865
"rwa",2004,1.60194
"rwa",2005,1.96978
"rwa",2006,2.39083
"rwa",2007,2.60579
"rwa",2008,2.74645
"rwa",2009,2.76548
"rwa",2010,2.68783
"rwa",2011,2.61714
"rwa",2012,2.59038
"rwa",2013,2.55233
"rwa",2014,2.61876
"rwa",2015,2.6919
"rwa",2016,2.75125
"rwa",2017,2.81538
"ssd",1960,1.67536
"ssd",1961,1.75005
"ssd",1962,1.79652
"ssd",1963,1.86197
"ssd",1964,1.90275
"ssd",1965,1.95258
"ssd",1966,2.01199
"ssd",1967,2.04547
"ssd",1968,2.09999
"ssd",1969,2.14056
"ssd",1970,2.16972
"ssd",1971,2.22183
"ssd",1972,2.251
"ssd",1973,2.30417
"ssd",1974,2.33406
"ssd",1975,2.38816
"ssd",1976,2.39078
"ssd",1977,2.37868
"ssd",1978,2.45806
"ssd",1979,2.61327
"ssd",1980,2.788
"ssd",1981,2.98224
"ssd",1982,3.0698
"ssd",1983,5.57296
"ssd",1984,8.99895
"ssd",1985,8.53442
"ssd",1986,8.16935
"ssd",1987,7.81833
"ssd",1988,7.3086
"ssd",1989,6.5539
"ssd",1990,5.73094
"ssd",1991,4.73712
"ssd",1992,3.91608
"ssd",1993,2.71313
"ssd",1994,-0.29951
"ssd",1995,1.29442
"ssd",1996,3.16006
"ssd",1997,4.69362
"ssd",1998,5.57906
"ssd",1999,5.67234
"ssd",2000,5.27776
"ssd",2001,4.77727
"ssd",2002,4.47191
"ssd",2003,4.36028
"ssd",2004,4.52029
"ssd",2005,4.80854
"ssd",2006,5.10758
"ssd",2007,5.2538
"ssd",2008,5.2577
"ssd",2009,5.13368
"ssd",2010,4.91266
"ssd",2011,4.67955
"ssd",2012,4.49498
"ssd",2013,4.34771
"ssd",2014,4.25276
"ssd",2015,4.20598
"ssd",2016,4.15661
"ssd",2017,4.10323
"tza",1960,5.69789
"tza",1961,5.7057
"tza",1962,5.74636
"tza",1963,5.76046
"tza",1964,5.76592
"tza",1965,5.76683
"tza",1966,5.76045
"tza",1967,5.7722
"tza",1968,9.57244
"tza",1969,10.25995
"tza",1970,10.26666
"tza",1971,10.29958
"tza",1972,10.29087
"tza",1973,10.24477
"tza",1974,10.18718
"tza",1975,10.09689
"tza",1976,10.01602
"tza",1977,9.89883
"tza",1978,9.81798
"tza",1979,6.57707
"tza",1980,6.00208
"tza",1981,5.98101
"tza",1982,5.98795
"tza",1983,5.96132
"tza",1984,5.93671
"tza",1985,5.87914
"tza",1986,5.82865
"tza",1987,5.77601
"tza",1988,5.78046
"tza",1989,4.96143
"tza",1990,4.89242
"tza",1991,5.00584
"tza",1992,5.07304
"tza",1993,5.03866
"tza",1994,4.89754
"tza",1995,4.68504
"tza",1996,4.4665
"tza",1997,4.29426
"tza",1998,4.19666
"tza",1999,4.19502
"tza",2000,4.26398
"tza",2001,4.33313
"tza",2002,4.39543
"tza",2003,5.27923
"tza",2004,5.47943
"tza",2005,5.52442
"tza",2006,5.57539
"tza",2007,5.61475
"tza",2008,5.63776
"tza",2009,5.61694
"tza",2010,5.59118
"tza",2011,5.54771
"tza",2012,5.51384
"tza",2013,5.47184
"tza",2014,5.42519
"tza",2015,5.38176
"tza",2016,5.3318
"tza",2017,5.28163
"uga",1960,7.50538
"uga",1961,7.59544
"uga",1962,7.70621
"uga",1963,7.79599
"uga",1964,7.81779
"uga",1965,7.78208
"uga",1966,7.81787
"uga",1967,7.7802
"uga",1968,7.72492
"uga",1969,7.55984
"uga",1970,4.58678
"uga",1971,3.95224
"uga",1972,3.82666
"uga",1973,3.74324
"uga",1974,3.76521
"uga",1975,3.84725
"uga",1976,3.94891
"uga",1977,4.03208
"uga",1978,4.07566
"uga",1979,4.09613
"uga",1980,5.39174
"uga",1981,6.89303
"uga",1982,6.91267
"uga",1983,6.93305
"uga",1984,7.0265
"uga",1985,7.14201
"uga",1986,7.25653
"uga",1987,7.3336
"uga",1988,7.3715
"uga",1989,7.32871
"uga",1990,7.23985
"uga",1991,6.74707
"uga",1992,6.2298
"uga",1993,6.15069
"uga",1994,6.08713
"uga",1995,6.02763
"uga",1996,5.96219
"uga",1997,5.90291
"uga",1998,5.90267
"uga",1999,5.94774
"uga",2000,6.03072
"uga",2001,6.10461
"uga",2002,6.17134
"uga",2003,6.21086
"uga",2004,6.22183
"uga",2005,6.18462
"uga",2006,6.17099
"uga",2007,6.14217
"uga",2008,6.1224
"uga",2009,6.09106
"uga",2010,6.06892
"uga",2011,6.03817
"uga",2012,6.00763
"uga",2013,5.95774
"uga",2014,5.9225
"uga",2015,5.87426
"uga",2016,5.8154
"uga",2017,5.75732
