"geo","time","urban_population_percent_of_total"
"bdi",1960,2.077
"bdi",1961,2.115
"bdi",1962,2.154
"bdi",1963,2.193
"bdi",1964,2.233
"bdi",1965,2.294
"bdi",1966,2.395
"bdi",1967,2.501
"bdi",1968,2.611
"bdi",1969,2.726
"bdi",1970,2.845
"bdi",1971,2.97
"bdi",1972,3.101
"bdi",1973,3.236
"bdi",1974,3.377
"bdi",1975,3.525
"bdi",1976,3.678
"bdi",1977,3.838
"bdi",1978,4.005
"bdi",1979,4.178
"bdi",1980,4.339
"bdi",1981,4.503
"bdi",1982,4.674
"bdi",1983,4.85
"bdi",1984,5.033
"bdi",1985,5.221
"bdi",1986,5.417
"bdi",1987,5.62
"bdi",1988,5.83
"bdi",1989,6.047
"bdi",1990,6.271
"bdi",1991,6.455
"bdi",1992,6.637
"bdi",1993,6.823
"bdi",1994,7.014
"bdi",1995,7.211
"bdi",1996,7.412
"bdi",1997,7.618
"bdi",1998,7.83
"bdi",1999,8.036
"bdi",2000,8.246
"bdi",2001,8.461
"bdi",2002,8.682
"bdi",2003,8.908
"bdi",2004,9.139
"bdi",2005,9.375
"bdi",2006,9.617
"bdi",2007,9.864
"bdi",2008,10.118
"bdi",2009,10.376
"bdi",2010,10.642
"bdi",2011,10.915
"bdi",2012,11.194
"bdi",2013,11.482
"bdi",2014,11.776
"bdi",2015,12.078
"bdi",2016,12.388
"bdi",2017,12.706
"cod",1960,22.3
"cod",1961,22.523
"cod",1962,22.749
"cod",1963,22.976
"cod",1964,23.204
"cod",1965,23.434
"cod",1966,23.666
"cod",1967,23.899
"cod",1968,24.134
"cod",1969,24.37
"cod",1970,24.608
"cod",1971,24.847
"cod",1972,25.089
"cod",1973,25.331
"cod",1974,25.575
"cod",1975,25.821
"cod",1976,26.068
"cod",1977,26.317
"cod",1978,26.567
"cod",1979,26.819
"cod",1980,27.072
"cod",1981,27.327
"cod",1982,27.583
"cod",1983,27.84
"cod",1984,28.1
"cod",1985,28.513
"cod",1986,28.93
"cod",1987,29.35
"cod",1988,29.775
"cod",1989,30.202
"cod",1990,30.633
"cod",1991,31.067
"cod",1992,31.506
"cod",1993,31.946
"cod",1994,32.39
"cod",1995,32.838
"cod",1996,33.289
"cod",1997,33.742
"cod",1998,34.199
"cod",1999,34.659
"cod",2000,35.122
"cod",2001,35.587
"cod",2002,36.055
"cod",2003,36.526
"cod",2004,37
"cod",2005,37.481
"cod",2006,37.971
"cod",2007,38.47
"cod",2008,38.976
"cod",2009,39.491
"cod",2010,40.013
"cod",2011,40.544
"cod",2012,41.082
"cod",2013,41.627
"cod",2014,42.18
"cod",2015,42.74
"cod",2016,43.307
"cod",2017,43.88
"ken",1960,7.362
"ken",1961,7.565
"ken",1962,7.774
"ken",1963,8.038
"ken",1964,8.318
"ken",1965,8.605
"ken",1966,8.902
"ken",1967,9.209
"ken",1968,9.525
"ken",1969,9.85
"ken",1970,10.295
"ken",1971,10.778
"ken",1972,11.282
"ken",1973,11.805
"ken",1974,12.349
"ken",1975,12.914
"ken",1976,13.503
"ken",1977,14.112
"ken",1978,14.745
"ken",1979,15.401
"ken",1980,15.583
"ken",1981,15.681
"ken",1982,15.78
"ken",1983,15.879
"ken",1984,15.979
"ken",1985,16.079
"ken",1986,16.18
"ken",1987,16.281
"ken",1988,16.383
"ken",1989,16.485
"ken",1990,16.748
"ken",1991,17.043
"ken",1992,17.342
"ken",1993,17.645
"ken",1994,17.952
"ken",1995,18.263
"ken",1996,18.579
"ken",1997,18.898
"ken",1998,19.222
"ken",1999,19.55
"ken",2000,19.892
"ken",2001,20.239
"ken",2002,20.591
"ken",2003,20.948
"ken",2004,21.31
"ken",2005,21.675
"ken",2006,22.045
"ken",2007,22.42
"ken",2008,22.8
"ken",2009,23.183
"ken",2010,23.571
"ken",2011,23.969
"ken",2012,24.376
"ken",2013,24.794
"ken",2014,25.221
"ken",2015,25.658
"ken",2016,26.105
"ken",2017,26.562
"rwa",1960,2.6
"rwa",1961,2.654
"rwa",1962,2.71
"rwa",1963,2.766
"rwa",1964,2.824
"rwa",1965,2.882
"rwa",1966,2.942
"rwa",1967,3.003
"rwa",1968,3.066
"rwa",1969,3.129
"rwa",1970,3.194
"rwa",1971,3.336
"rwa",1972,3.491
"rwa",1973,3.652
"rwa",1974,3.821
"rwa",1975,3.998
"rwa",1976,4.182
"rwa",1977,4.374
"rwa",1978,4.575
"rwa",1979,4.656
"rwa",1980,4.721
"rwa",1981,4.786
"rwa",1982,4.853
"rwa",1983,4.92
"rwa",1984,4.988
"rwa",1985,5.057
"rwa",1986,5.127
"rwa",1987,5.198
"rwa",1988,5.27
"rwa",1989,5.342
"rwa",1990,5.416
"rwa",1991,5.491
"rwa",1992,6.288
"rwa",1993,7.313
"rwa",1994,8.49
"rwa",1995,9.837
"rwa",1996,11.374
"rwa",1997,12.466
"rwa",1998,13.244
"rwa",1999,14.064
"rwa",2000,14.926
"rwa",2001,15.829
"rwa",2002,16.777
"rwa",2003,16.904
