"geo","time","wood_removal_cubic_meters"
"bdi",1990,6458580
"bdi",1991,6529530
"bdi",1992,6612580
"bdi",1993,6798640
"bdi",1994,7090170
"bdi",1995,7371920
"bdi",1996,7711130
"bdi",1997,7893030
"bdi",1998,8078210
"bdi",1999,5940000
"bdi",2000,6187000
"bdi",2001,8718620
"bdi",2002,8862240
"bdi",2003,9086430
"bdi",2004,9235250
"bdi",2005,9424730
"bdi",2006,9563680
"bdi",2007,9705000
"bdi",2008,9848300
"bdi",2009,9994140
"bdi",2010,10728550
"bdi",2011,10866110
"cod",1990,47236500
"cod",1991,49756900
"cod",1992,52936200
"cod",1993,57010500
"cod",1994,60055000
"cod",1995,62127500
"cod",1996,63688400
"cod",1997,64877800
"cod",1998,66049700
"cod",1999,67152700
"cod",2000,68466800
"cod",2001,69712700
"cod",2002,71024300
"cod",2003,72383300
"cod",2004,73887400
"cod",2005,75274400
"cod",2006,76498000
"cod",2007,77800800
"cod",2008,78907300
"cod",2009,80038100
"cod",2010,81194000
"cod",2011,81184000
"ken",1990,18535610
"ken",1991,19022700
"ken",1992,19557660
"ken",1993,20050620
"ken",1994,20416480
"ken",1995,20753380
"ken",1996,21032530
"ken",1997,21334050
"ken",1998,21342780
"ken",1999,21497850
"ken",2000,21635250
"ken",2001,21697900
"ken",2002,21843530
"ken",2003,21942350
"ken",2004,22161620
"ken",2005,26714000
"ken",2006,27646000
"ken",2007,27646000
"ken",2008,27646000
"ken",2009,27646000
"ken",2010,27646000
"ken",2011,27646000
"rwa",1990,6388000
"rwa",1991,6388000
"rwa",1992,6428000
"rwa",1993,6428000
"rwa",1994,6479000
"rwa",1995,5377000
"rwa",1996,5798000
"rwa",1997,7415000
"rwa",1998,7526000
"rwa",1999,7836000
"rwa",2000,5400000
"rwa",2001,5495000
"rwa",2002,5495000
"rwa",2003,5495000
"rwa",2004,5495000
"rwa",2005,5495000
"rwa",2006,5495000
"rwa",2007,5495000
"rwa",2008,6211000
"rwa",2009,6211930
"rwa",2010,6211930
"rwa",2011,6211930
"ssd",2011,4383000
"tza",1990,20513200
"tza",1991,20909100
"tza",1992,21701600
"tza",1993,22009800
"tza",1994,22294300
"tza",1995,22608100
"tza",1996,22802700
"tza",1997,22943400
"tza",1998,22958100
"tza",1999,23051200
"tza",2000,23100600
"tza",2001,23264500
"tza",2002,23438800
"tza",2003,23623600
"tza",2004,23819200
"tza",2005,24025900
"tza",2006,24228000
"tza",2007,24441200
"tza",2008,24665700
"tza",2009,24901800
"tza",2010,25149700
"tza",2011,25149700
"uga",1990,31004500
"uga",1991,31678900
"uga",1992,32671200
"uga",1993,33418100
"uga",1994,34378000
"uga",1995,34880400
"uga",1996,35430300
"uga",1997,35967000
"uga",1998,36409100
"uga",1999,36901300
"uga",2000,37265300
"uga",2001,37786000
"uga",2002,38316800
"uga",2003,38858000
"uga",2004,39480600
"uga",2005,40120000
"uga",2006,40746300
"uga",2007,41685200
"uga",2008,42357800
"uga",2009,43029500
"uga",2010,43729400
"uga",2011,43729400
