"geo","time","yearly_co2_emissions_1000_tonnes"
"bdi",1962,44.004
"bdi",1963,47.671
"bdi",1964,47.671
"bdi",1965,36.67
"bdi",1966,47.671
"bdi",1967,47.671
"bdi",1968,55.005
"bdi",1969,73.34
"bdi",1970,62.339
"bdi",1971,73.34
"bdi",1972,73.34
"bdi",1973,73.34
"bdi",1974,91.675
"bdi",1975,77.007
"bdi",1976,88.008
"bdi",1977,99.009
"bdi",1978,102.676
"bdi",1979,110.01
"bdi",1980,146.68
"bdi",1981,157.681
"bdi",1982,157.681
"bdi",1983,205.352
"bdi",1984,220.02
"bdi",1985,231.021
"bdi",1986,234.688
"bdi",1987,249.356
"bdi",1988,227.354
"bdi",1989,267.691
"bdi",1990,209.019
"bdi",1991,238.355
"bdi",1992,216.353
"bdi",1993,227.354
"bdi",1994,234.688
"bdi",1995,238.355
"bdi",1996,242.022
"bdi",1997,249.356
"bdi",1998,249.356
"bdi",1999,253.023
"bdi",2000,271.358
"bdi",2001,205.352
"bdi",2002,212.686
"bdi",2003,161.348
"bdi",2004,198.018
"bdi",2005,154.014
"bdi",2006,187.017
"bdi",2007,187.017
"bdi",2008,190.684
"bdi",2009,190.684
"bdi",2010,212.686
"bdi",2011,242.022
"bdi",2012,282.359
"bdi",2013,289.693
"bdi",2014,440.04
"cod",1920,3.667
"cod",1921,7.334
"cod",1922,80.674
"cod",1923,161.348
"cod",1924,216.353
"cod",1925,172.349
"cod",1926,238.355
"cod",1927,231.021
"cod",1928,282.359
"cod",1929,304.361
"cod",1930,388.702
"cod",1931,249.356
"cod",1932,51.338
"cod",1933,3.667
"cod",1934,18.335
"cod",1935,33.003
"cod",1936,40.337
"cod",1937,102.676
"cod",1938,121.011
"cod",1939,88.008
"cod",1940,77.007
"cod",1941,102.676
"cod",1942,143.013
"cod",1943,220.02
"cod",1944,172.349
"cod",1945,172.349
"cod",1946,311.695
"cod",1947,326.363
"cod",1948,374.034
"cod",1949,476.71
"cod",1950,1481.468
"cod",1951,1749.159
"cod",1952,2086.523
"cod",1953,2291.875
"cod",1954,2819.923
"cod",1955,3391.975
"cod",1956,3179.289
"cod",1957,3333.303
"cod",1958,2929.933
"cod",1959,2702.579
"cod",1960,2321.211
"cod",1961,2357.881
"cod",1962,2174.531
"cod",1963,2295.542
"cod",1964,1976.513
"cod",1965,2471.558
"cod",1966,2405.552
"cod",1967,2291.875
"cod",1968,3369.973
"cod",1969,3652.332
"cod",1970,2713.58
"cod",1971,2962.936
"cod",1972,3021.608
"cod",1973,3193.957
"cod",1974,3369.973
"cod",1975,3237.961
"cod",1976,3413.977
"cod",1977,3487.317
"cod",1978,3538.655
"cod",1979,3755.008
"cod",1980,3501.985
"cod",1981,3777.01
"cod",1982,3072.946
"cod",1983,4026.366
"cod",1984,3964.027
"cod",1985,3641.331
"cod",1986,3377.307
"cod",1987,3854.017
"cod",1988,4019.032
"cod",1989,4393.066
"cod",1990,4070.37
"cod",1991,2962.936
"cod",1992,2816.256
"cod",1993,2592.569
"cod",1994,1639.149
"cod",1995,2123.193
"cod",1996,2317.544
"cod",1997,1899.506
"cod",1998,1668.485
"cod",1999,1382.459
"cod",2000,814.074
"cod",2001,836.076
"cod",2002,927.751
"cod",2003,986.423
"cod",2004,1199.109
"cod",2005,1499.803
"cod",2006,1609.813
"cod",2007,1756.493
"cod",2008,1859.169
"cod",2009,1749.159
"cod",2010,2020.517
"cod",2011,2493.56
"cod",2012,2401.885
"cod",2013,3589.993
"cod",2014,4671.758
"ken",1950,909.416
"ken",1951,1393.46
"ken",1952,1591.478
"ken",1953,1514.471
"ken",1954,1701.488
"ken",1955,1987.514
"ken",1956,2222.202
"ken",1957,2284.541
"ken",1958,2090.19
"ken",1959,2211.201
"ken",1960,2427.554
"ken",1961,2401.885
"ken",1962,2625.572
"ken",1963,2856.593
"ken",1964,2827.257
"ken",1965,2467.891
"ken",1966,2684.244
"ken",1967,2702.579
"ken",1968,2819.923
"ken",1969,3131.618
"ken",1970,3083.947
"ken",1971,3685.335
"ken",1972,3872.352
"ken",1973,3920.023
"ken",1974,4950.45
"ken",1975,4976.119
"ken",1976,4609.419
"ken",1977,5056.793
"ken",1978,5324.484
"ken",1979,5038.458
"ken",1980,6197.23
"ken",1981,6527.26
"ken",1982,4693.76
"ken",1983,4660.757
"ken",1984,4319.726
"ken",1985,3769.676
"ken",1986,4162.045
"ken",1987,5174.137
"ken",1988,4789.102
"ken",1989,5192.472
"ken",1990,5823.196
"ken",1991,4840.44
"ken",1992,5540.837
"ken",1993,6347.577
"ken",1994,6556.596
"ken",1995,7554.02
"ken",1996,9328.848
"ken",1997,8265.418
"ken",1998,10036.579
"ken",1999,10172.258
"ken",2000,10417.947
